"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc";"norm.sc"
"386";386;"P84095";"P84095";"P84095";"RHOG_HUMAN";"Rho-related GTP-binding protein RhoG";"RHOG";1;2;0,000460173767177599;1;NA;2;NA;0,00111531710554939;NA;"cytosol, extracellular vesicular exosome, plasma membrane";0,000245459008345606
"389";389;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";3;7;0,000424898015688156;2;2;4;3;NA;NA;"integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, extracellular vesicular exosome";0,000859106529209622
"390";390;"Q00610";"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";16;30;0,000393551594914574;13;8;17;13;NA;NA;"cytosol, clathrin coat of coated pit, melanosome, extracellular vesicular exosome, protein complex, clathrin complex, clathrin-coated vesicle, clathrin coat of trans-Golgi network vesicle, plasma membrane, clathrin coat, clathrin-coated endocytic vesicle membrane, spindle, mitochondrion, trans-Golgi network membrane";0,00368188512518409
"392";392;"Q00839";"Q00839-1";"Q00839-1";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";2;7;0,0037288019800997;2;2;3;4;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, CRD-mediated mRNA stability complex, cell surface";0,000859106529209622
"393";393;"Q00839";"Q00839-2";"Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;1;0,0005326859971571;0;1;0;1;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, CRD-mediated mRNA stability complex, cell surface";0,000122729504172803
"394";394;"Q01082";"Q01082-1,Q01082-2,Q01082-3";"Q01082-1,Q01082-2,Q01082-3";"SPTB2_HUMAN";"Spectrin beta chain, non-erythrocytic 1";"SPTBN1";1;1;6,19664336794427e-06;NA;1;NA;1;NA;NA;"M band, extracellular vesicular exosome, protein complex, axolemma, nucleolus, cuticular plate, cytoplasm, spectrin-associated cytoskeleton, cytosol, spectrin";0,000122729504172803
"397";397;"Q01469";"Q01469";"Q01469";"FABP5_HUMAN";"Fatty acid-binding protein, epidermal";"FABP5";6;14;0,00455742464234408;5;5;7;7;0,00552288507451679;0,00531923021726375;"cytoplasm, extracellular vesicular exosome";0,00171821305841924
"398";398;"Q01518";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";7;17;0,000786412748434561;5;6;8;9;NA;NA;"extracellular vesicular exosome, cortical actin cytoskeleton, plasma membrane";0,00208640157093765
"400";400;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";2;2;0,000173359348187222;NA;2;NA;2;NA;0,000404675164457935;"nucleolus, plasma membrane, nucleus, integral component of membrane, extracellular vesicular exosome, cytosol, apical plasma membrane";0,000245459008345606
"401";401;"Q01813";"Q01813";"Q01813";"K6PP_HUMAN";"6-phosphofructokinase type C";"PFKP";4;8;0,000548086782789193;3;3;5;3;0,000815148853928317;0,000490681541087787;"extracellular vesicular exosome, 6-phosphofructokinase complex, cytosol";0,000981836033382425
"402";402;"Q02413";"Q02413";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"DSG1";3;4;0,000167575194529879;3;NA;4;NA;0,000406149794394535;NA;"integral component of membrane, plasma membrane, lateral plasma membrane, apical plasma membrane, desmosome, cytoplasmic side of plasma membrane, cytosol";0,000490918016691213
"404";404;"Q02790";"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";7;16;0,00153190744280473;4;7;6;10;0,00139232396836558;0,00223497067952258;"membrane, axonal growth cone, nucleus, cytoplasm, mitochondrion, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, neuronal cell body, microtubule";0,00196367206676485
"406";406;"Q04446";"Q04446";"Q04446";"GLGB_HUMAN";"1,4-alpha-glucan-branching enzyme";"GBE1";3;5;0,000313009934226928;3;NA;5;NA;0,000758638059686373;NA;"extracellular vesicular exosome, cytosol";0,000613647520864016
"408";408;"Q04695";"Q04695";"Q04695";"K1C17_HUMAN";"Keratin, type I cytoskeletal 17";"KRT17";9;17;0,00302555126954018;9;0;17;0;0,00683938175391351;0;"extracellular vesicular exosome, cytoplasm, cell periphery, intermediate filament";0,00208640157093765
"409";409;"Q04837";"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";2;3;0,000890809353353934;NA;2;NA;3;NA;0,0020794288011504;"extracellular vesicular exosome, mitochondrial nucleoid, mitochondrion";0,000368188512518409
"410";410;"Q04917";"Q04917";"Q04917";"1433F_HUMAN";"14-3-3 protein eta";"YWHAH";1;1;0,000212283109985382;0;1;0;1;0;0,000498972889110395;"intercalated disc, plasma membrane, cytoplasm, cytoplasmic vesicle membrane, cytosol, extracellular vesicular exosome";0,000122729504172803
"411";411;"Q06323";"Q06323";"Q06323";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";4;9;0,00158843113610099;2;4;4;5;0,0017110487322083;0,00205994285522262;"cytosol, extracellular vesicular exosome, nucleoplasm, proteasome activator complex, cytoplasm, proteasome complex";0,00110456553755523
"412";412;"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";9;36;0,0102299260694305;8;8;20;16;0,0129574964712444;0,0114237733846698;"cytoplasm, cytosol, extracellular vesicular exosome, nucleolus, mitochondrial matrix, nucleus, peroxisomal matrix, melanosome, extracellular space, nuclear euchromatin";0,00441826215022091
"414";414;"Q07021";"Q07021";"Q07021";"C1QBP_HUMAN";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP";3;4;0,00062335595412001;NA;3;NA;4;NA;0,00145510857007215;"mitochondrial matrix, extracellular space, cytosol, membrane, nucleolus, cytoplasm, mitochondrion, plasma membrane, nucleus, cell surface";0,000490918016691213
"422";422;"Q13162";"Q13162";"Q13162";"PRDX4_HUMAN";"Peroxiredoxin-4";"PRDX4";1;3;0,000586287242116564;1;1;2;1;0,000893263867661579;0,000489879182153659;"extracellular space, extracellular vesicular exosome, mitochondrion";0,000368188512518409
"423";423;"Q13200";"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";2;2;9,67986668842748e-05;NA;2;NA;2;NA;0,000225958489405477;"cytosol, proteasome regulatory particle, extracellular vesicular exosome, proteasome complex, nucleoplasm, proteasome accessory complex";0,000245459008345606
"424";424;"Q13283";"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";2;2;0,000188611994701548;2;NA;2;NA;0,000457136410214449;NA;"cytoplasmic stress granule, plasma membrane, nucleus, cytoplasm, cytosol";0,000245459008345606
"427";427;"Q13451";"Q13451";"Q13451";"FKBP5_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP5";"FKBP5";4;4;0,000384652908231604;NA;4;NA;4;NA;0,000897900693129861;"nucleus, extracellular vesicular exosome, membrane, cytoplasm";0,000490918016691213
"429";429;"Q13765";"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";2;5;0,0010220138317549;1;2;2;3;0,000990816591441551;0,00143142075614074;"nascent polypeptide-associated complex, nucleus, cytoplasm, extracellular vesicular exosome";0,000613647520864016
"430";430;"Q13835";"Q13835-1,Q13835-2";"Q13835-1,Q13835-2";"PKP1_HUMAN";"Plakophilin-1";"PKP1";1;1;2,94153914092776e-05;1;NA;1;NA;NA;NA;"nucleus, plasma membrane, intracellular membrane-bounded organelle, desmosome, intermediate filament";0,000122729504172803
"435";435;"Q14204";"Q14204";"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";10;16;0,000151344278141922;7;5;9;7;0,000206331263930198;0,000154562221121525;"cytoplasmic dynein complex, extracellular vesicular exosome, microtubule, centrosome, cytosol";0,00196367206676485
"436";436;"Q14244";"Q14244-1,Q14244-2,Q14244-3,Q14244-4,Q14244-5";"Q14244-1,Q14244-2,Q14244-3,Q14244-4,Q14244-5";"MAP7_HUMAN";"Ensconsin";"MAP7";4;6;7,04084295307782e-05;4;NA;6;NA;NA;NA;"microtubule, microtubule cytoskeleton, perinuclear region of cytoplasm, cytoplasm, basolateral plasma membrane, microtubule associated complex";0,000736377025036819
"439";439;"Q14697";"Q14697-1";"Q14697-1";"GANAB_HUMAN";"Neutral alpha-glucosidase AB";"GANAB";6;7;0,000325875173048967;2;5;2;5;NA;NA;"extracellular vesicular exosome, melanosome, Golgi apparatus, endoplasmic reticulum lumen, glucosidase II complex";0,000859106529209622
"442";442;"Q15019";"Q15019-1,Q15019-2";"Q15019-1,Q15019-2";"SEPT2_HUMAN";"Septin-2";"SEPT2";3;7;0,000426075018501697;2;3;2;5;NA;NA;"condensed chromosome kinetochore, midbody, septin complex, synapse, nucleolus, extracellular vesicular exosome, cell surface, cytoplasm, actin cytoskeleton, ciliary membrane, perinuclear region of cytoplasm, exocyst, nucleus, spindle, cleavage furrow";0,000859106529209622
"443";443;"Q15046";"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";4;7;0,000257643352896336;3;3;3;4;NA;NA;"cytosol, extracellular region, aminoacyl-tRNA synthetase multienzyme complex, mitochondrial matrix, cytoplasm, plasma membrane, mitochondrion, microtubule cytoskeleton, nucleus";0,000859106529209622
"445";445;"Q15084";"Q15084-1,Q15084-2";"Q15084-1,Q15084-2";"PDIA6_HUMAN";"Protein disulfide-isomerase A6";"PDIA6";4;11;0,000549332434568259;3;4;5;6;NA;NA;"endoplasmic reticulum membrane, endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum, plasma membrane";0,00135002454590083
"446";446;"Q15181";"Q15181";"Q15181";"IPYR_HUMAN";"Inorganic pyrophosphatase";"PPA1";1;1;0,000152064341748999;1;NA;1;NA;0,000368556344567359;NA;"extracellular vesicular exosome, cytoplasm, cytosol";0,000122729504172803
"449";449;"Q15365";"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";5;16;0,00244539639144351;4;5;7;9;0,00272265823195982;0,00306498034735448;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleoplasm";0,00196367206676485
"454";454;"Q15942";"Q15942";"Q15942";"ZYX_HUMAN";"Zyxin";"ZYX";2;2;0,000153659422256856;NA;2;NA;2;NA;0,000358689350314988;"cell-cell adherens junction, focal adhesion, integral component of plasma membrane, plasma membrane, nucleus, stress fiber, cytoplasm";0,000245459008345606
"455";455;"Q16181";"Q16181-1,Q16181-2";"Q16181-1,Q16181-2";"SEPT7_HUMAN";"Septin-7";"SEPT7";5;11;0,000691379494307878;5;3;7;4;NA;NA;"synapse, nucleus, cleavage furrow, cytoplasm, midbody, condensed chromosome kinetochore, actin cytoskeleton, plasma membrane, septin complex, spindle, axon terminus, microtubule cytoskeleton, nucleolus, extracellular vesicular exosome, axoneme, stress fiber";0,00135002454590083
"456";456;"Q16543";"Q16543";"Q16543";"CDC37_HUMAN";"Hsp90 co-chaperone Cdc37";"CDC37";2;2;0,000232521665425718;NA;2;NA;2;NA;0,000542778593598342;"ruffle membrane, protein complex, extracellular vesicular exosome, cytosol, cytoplasm";0,000245459008345606
"457";457;"Q16555";"Q16555";"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";6;15;0,00115244566692642;4;5;6;9;0,00111726696062902;0,00161410207641745;"protein complex, axon, cytoskeleton, dendrite, cytosol, neuronal cell body, extracellular vesicular exosome, mitochondrion, growth cone, membrane";0,00184094256259205
"459";459;"Q16658";"Q16658";"Q16658";"FSCN1_HUMAN";"Fascin";"FSCN1";7;17;0,00151539981949865;5;6;8;9;0,00172840216762623;0,00187275129353099;"filopodium, cytosol, cell junction, actin cytoskeleton, extracellular vesicular exosome, stress fiber, cytoplasm, invadopodium";0,00208640157093765
"463";463;"Q562R1";"Q562R1";"Q562R1";"ACTBL_HUMAN";"Beta-actin-like protein 2";"ACTBL2";1;4;0,000793950330424753;1;1;3;1;0,00140370601378593;0,000474534290373976;"cytoskeleton, cytoplasm, extracellular space, extracellular vesicular exosome";0,000490918016691213
"465";465;"Q5T749";"Q5T749";"Q5T749";"KPRP_HUMAN";"Keratinocyte proline-rich protein";"KPRP";2;2;0,000151801709034407;2;NA;2;NA;0,000367919805112147;NA;"cytoplasm, extracellular vesicular exosome";0,000245459008345606
"466";466;"Q5XKE5";"Q5XKE5";"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome";0
"469";469;"Q6PIW4";"Q6PIW4-1,Q6PIW4-2";"Q6PIW4-1,Q6PIW4-2";"FIGL1_HUMAN";"Fidgetin-like protein 1";"FIGNL1";2;2;6,52026628567667e-05;NA;2;NA;2;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome, nuclear chromosome";0,000245459008345606
"471";471;"Q71U36";"Q71U36";"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";0;0;NA;0;0;0;0;0;NA;"cytoplasmic microtubule, cytosol, microtubule, extracellular vesicular exosome";0
"472";472;"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";8;13;0,000627808496649439;6;5;6;7;0,000702282089538242;0,000789116570692974;"RISC complex, nucleus, mitochondrion, melanosome, extracellular vesicular exosome, cytoplasm";0,00159548355424644
"474";474;"Q7Z2W4";"Q7Z2W4-1,Q7Z2W4-2";"Q7Z2W4-1,Q7Z2W4-2";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";7;18;0,000438491522050052;6;4;10;8;NA;NA;"nucleus, cytoplasm, plasma membrane, Golgi apparatus";0,00220913107511046
"476";476;"Q7Z6Z7";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";2;2;6,69815497111122e-06;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm";0,000245459008345606
"477";477;"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";4;5;0,000377548064995367;1;4;1;4;0,000183011655635682;0,000705052606117434;"apical plasma membrane, endoplasmic reticulum, cytoplasm, endoplasmic reticulum membrane, intercellular canaliculus, nuclear membrane, tight junction, nuclear body, integral component of membrane, nucleolus, nucleus, perinuclear region of cytoplasm";0,000613647520864016
"478";478;"Q86UP2";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"KTN1_HUMAN";"Kinectin";"KTN1";3;4;4,31801471534864e-05;NA;3;NA;4;NA;NA;"integral component of plasma membrane, integral component of membrane, endoplasmic reticulum membrane, membrane, endoplasmic reticulum";0,000490918016691213
"479";479;"Q86V81";"Q86V81";"Q86V81";"THOC4_HUMAN";"THO complex subunit 4";"ALYREF";1;1;0,00017099842321191;NA;1;NA;1;NA;0,00039916402408594;"nuclear speck, cytosol, nucleoplasm, extracellular vesicular exosome, transcription export complex, catalytic step 2 spliceosome";0,000122729504172803
"480";480;"Q86YV0";"Q86YV0-1,Q86YV0-2";"Q86YV0-1,Q86YV0-2";"RASL3_HUMAN";"RAS protein activator like-3";"RASAL3";11;17;0,000369481756188344;11;NA;17;NA;NA;NA;"intrinsic component of the cytoplasmic side of the plasma membrane, cytoplasm, extracellular vesicular exosome";0,00208640157093765
"481";481;"Q86YZ3";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";16;45;0,000693893601559906;11;14;22;23;0,000822203943424304;0,000827880191709471;"extracellular vesicular exosome, cornified envelope";0,00552282768777614
"482";482;"Q8IUE6";"Q8IUE6";"Q8IUE6";"H2A2B_HUMAN";"Histone H2A type 2-B";"HIST2H2AB";1;1;0,000488295497394008;1;0;1;0;0,00105342313430736;0;"nucleosome, extracellular vesicular exosome, nucleus";0,000122729504172803
"486";486;"Q8NBS9";"Q8NBS9";"Q8NBS9";"TXND5_HUMAN";"Thioredoxin domain-containing protein 5";"TXNDC5";2;2;0,000203456457247503;NA;2;NA;2;NA;0,000474931269398549;"endoplasmic reticulum lumen, endoplasmic reticulum, lysosomal lumen, extracellular vesicular exosome";0,000245459008345606
"487";487;"Q8NC51";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";9;23;0,000619345391915194;7;7;10;13;NA;NA;"plasma membrane, nucleus, perinuclear region of cytoplasm, extracellular vesicular exosome, cytoplasm";0,00282277859597447
"492";492;"Q92598";"Q92598-1,Q92598-2,Q92598-3";"Q92598-1,Q92598-2,Q92598-3";"HS105_HUMAN";"Heat shock protein 105 kDa";"HSPH1";5;5;9,39029802680785e-05;NA;5;NA;5;NA;NA;"cytoplasm, nucleus, microtubule, extracellular vesicular exosome, endocytic vesicle lumen, extracellular region";0,000613647520864016
"493";493;"Q92688";"Q92688-1,Q92688-2";"Q92688-1,Q92688-2";"AN32B_HUMAN";"Acidic leucine-rich nuclear phosphoprotein 32 family member B";"ANP32B";2;4;0,000583620116407181;1;2;1;3;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome";0,000490918016691213
"495";495;"Q92820";"Q92820";"Q92820";"GGH_HUMAN";"Gamma-glutamyl hydrolase";"GGH";1;1;0,000138196838885097;NA;1;NA;1;NA;0,000322594824497128;"lysosome, cytosol, extracellular vesicular exosome, melanosome, extracellular space";0,000122729504172803
"497";497;"Q92930";"Q92930";"Q92930";"RAB8B_HUMAN";"Ras-related protein Rab-8B";"RAB8B";1;1;0,00035383731695218;1;0;1;0;0,000833088254363669;0;"phagocytic vesicle membrane, plasma membrane, peroxisomal membrane, mitochondrion, extracellular vesicular exosome, cell tip, perinuclear region of cytoplasm, phagocytic vesicle";0,000122729504172803
"499";499;"Q95604";"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00044891682824933;NA;1;NA;2;NA;0,00104791286538261;"integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, MHC class I protein complex, cell surface, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, plasma membrane";0,000245459008345606
"506";506;"Q99497";"Q99497";"Q99497";"PARK7_HUMAN";"Protein DJ-1";"PARK7";5;8;0,00186017332340575;NA;5;NA;8;NA;0,00434222874878673;"mitochondrion, membrane raft, nucleus, cytoplasm, extracellular vesicular exosome, plasma membrane, cytosol";0,000981836033382425
"509";509;"Q99714";"Q99714-1";"Q99714-1";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";4;8;0,00134702206177657;2;3;3;5;NA;NA;"plasma membrane, mitochondrial matrix, endoplasmic reticulum, mitochondrion, cytoplasm, mitochondrial inner membrane";0,000981836033382425
"512";512;"Q99832";"Q99832-1,Q99832-2,Q99832-3,Q99832-4";"Q99832-1,Q99832-2,Q99832-3,Q99832-4";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";8;18;0,000364198299161277;6;6;9;9;NA;NA;"cytoplasm, mitochondrion, zona pellucida receptor complex, microtubule, chaperonin-containing T-complex, cytosol, cell body, extracellular vesicular exosome";0,00220913107511046
"515";515;"Q9BVC6";"Q9BVC6";"Q9BVC6";"TM109_HUMAN";"Transmembrane protein 109";"TMEM109";1;1;0,000180850184220003;NA;1;NA;1;NA;0,000422161128354266;"integral component of membrane, nuclear outer membrane, extracellular vesicular exosome, sarcoplasmic reticulum membrane";0,000122729504172803
"518";518;"Q9H0U4";"Q9H0U4";"Q9H0U4";"RAB1B_HUMAN";"Ras-related protein Rab-1B";"RAB1B";2;4;0,00145759849968361;2;2;2;2;0,00171591312092815;0,00176929619166982;"membrane, extracellular vesicular exosome, mitochondrion, Golgi apparatus";0,000490918016691213
"520";520;"Q9H299";"Q9H299";"Q9H299";"SH3L3_HUMAN";"SH3 domain-binding glutamic acid-rich-like protein 3";"SH3BGRL3";1;1;0,000472544029736137;NA;1;NA;1;NA;0,00110306617408695;"nucleus, cytoplasm, extracellular vesicular exosome";0,000122729504172803
"524";524;"Q9NUQ9";"Q9NUQ9";"Q9NUQ9";"FA49B_HUMAN";"Protein FAM49B";"FAM49B";4;4;0,000542550552660009;NA;4;NA;4;NA;0,0012664833850628;"cilium, extracellular vesicular exosome";0,000490918016691213
"525";525;"Q9NX63";"Q9NX63";"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";2;3;0,000580792001305649;2;1;2;1;0,000938438621849927;0,000451916978810954;"extracellular vesicular exosome, cytoplasm, mitochondrial inner membrane, nucleus, mitochondrion";0,000368188512518409
"527";527;"Q9NZB2";"Q9NZB2-1,Q9NZB2-6";"Q9NZB2-1,Q9NZB2-6";"F120A_HUMAN";"Constitutive coactivator of PPAR-gamma-like protein 1";"FAM120A";4;7;0,000137578785043929;4;NA;7;NA;NA;NA;"cytoplasm, plasma membrane";0,000859106529209622
"529";529;"Q9P0L0";"Q9P0L0-1,Q9P0L0-2";"Q9P0L0-1,Q9P0L0-2";"VAPA_HUMAN";"Vesicle-associated membrane protein-associated protein A";"VAPA";4;4;0,000352984696911331;NA;4;NA;4;NA;NA;"endoplasmic reticulum membrane, endoplasmic reticulum, plasma membrane, integral component of membrane, vesicle, microtubule";0,000490918016691213
"533";533;"Q9UJU6";"Q9UJU6-1,Q9UJU6-2,Q9UJU6-3";"Q9UJU6-1,Q9UJU6-2,Q9UJU6-3";"DBNL_HUMAN";"Drebrin-like protein";"DBNL";1;1;3,40671277251634e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, cytoplasm, dendrite, podosome, postsynaptic density, plasma membrane, lamellipodium, clathrin-coated vesicle membrane, ruffle, cell junction, cytosol, Golgi membrane, cell cortex";0,000122729504172803
"534";534;"Q9UL46";"Q9UL46";"Q9UL46";"PSME2_HUMAN";"Proteasome activator complex subunit 2";"PSME2";2;5;0,000919384827729304;2;1;4;1;0,00178264072937183;0,0004292265865694;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome complex, proteasome activator complex";0,000613647520864016
"536";536;"Q9UQ80";"Q9UQ80";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";9;24;0,00267694993495192;6;8;11;13;0,00297370715578587;0,00338478935144956;"nucleolus, ribonucleoprotein complex, cytoplasm, extracellular vesicular exosome, nucleus";0,00294550810014728
"540";540;"Q9Y277";"Q9Y277-1,Q9Y277-2";"Q9Y277-1,Q9Y277-2";"VDAC3_HUMAN";"Voltage-dependent anion-selective channel protein 3";"VDAC3";1;1;0,000131995072617108;0;1;0;1;NA;NA;"mitochondrion, pore complex, extracellular vesicular exosome, mitochondrial outer membrane";0,000122729504172803
"541";541;"Q9Y2Q3";"Q9Y2Q3-1,Q9Y2Q3-2,Q9Y2Q3-3,Q9Y2Q3-4";"Q9Y2Q3-1,Q9Y2Q3-2,Q9Y2Q3-3,Q9Y2Q3-4";"GSTK1_HUMAN";"Glutathione S-transferase kappa 1";"GSTK1";1;1;4,86134897848017e-05;NA;1;NA;1;NA;NA;"mitochondrial matrix, mitochondrial inner membrane, intracellular, extracellular vesicular exosome, peroxisome";0,000122729504172803
"546";546;"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";11;20;0,000345899998153961;8;5;13;7;0,000544929628705064;0,000282603730551203;"cell-cell junction, ruffle membrane, cytosol, ruffle, microtubule organizing center, cytoplasm, plasma membrane, extracellular vesicular exosome, actin cytoskeleton, extracellular region, focal adhesion, cell surface";0,00245459008345606
