"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"1450";"Q6ZRI0";"Q6ZRI0-1";"OTOG_HUMAN";"Otogelin";"OTOG";"2";"8";"5.02098739244847E-5";"2";"0";"8";"0";"0";"0";"0";"extracellular space, proteinaceous extracellular matrix, apical plasma membrane, cytosol"
"1451";"Q6ZRS2";"Q6ZRS2-1";"SRCAP_HUMAN";"Helicase SRCAP";"SRCAP";"2";"3";"1.75379247818938E-5";"2";"0";"3";"0";"0";"0";"1";"protein complex, Golgi apparatus, nucleus"
"1452";"Q6ZS81";"Q6ZS81-4";"WDFY4_HUMAN";"WD repeat- and FYVE domain-containing protein 4";"WDFY4";"3";"3";"1.7297096564359E-5";"3";"0";"3";"0";"0";"0";"0";"integral component of membrane"
"1453";"Q6ZS81";"Q6ZS81-5";"WDFY4_HUMAN";"WD repeat- and FYVE domain-containing protein 4";"WDFY4";"2";"2";"1.15313977095727E-5";"2";"0";"2";"0";"0";"0";"0";"integral component of membrane"
"1454";"Q6ZSZ5";"Q6ZSZ5-1";"ARHGI_HUMAN";"Rho guanine nucleotide exchange factor 18";"ARHGEF18";"2";"4";"6.26018249058473E-5";"0";"2";"0";"4";"0";"0";"0";"plasma membrane, cell junction, apical part of cell, cytosol"
"1455";"Q6ZT98";"Q6ZT98-1";"TTLL7_HUMAN";"Tubulin polyglutamylase TTLL7";"TTLL7";"2";"2";"4.13934276294018E-5";"2";"0";"2";"0";"0";"0";"0";"dendrite, cilium, cytoskeleton, cytoplasm, perikaryon"
"1456";"Q6ZUM4";"Q6ZUM4-2";"RHG27_HUMAN";"Rho GTPase-activating protein 27";"ARHGAP27";"2";"2";"4.13003040576821E-5";"0";"2";"0";"2";"0";"0";"0";"intracellular, cytoplasm, membrane"
"1457";"Q6ZV29";"Q6ZV29-4";"PLPL7_HUMAN";"Patatin-like phospholipase domain-containing protein 7";"PNPLA7";"2";"2";"2.78784892234468E-5";"0";"2";"0";"2";"0";"0";"0";"integral component of membrane, mitochondrial membrane, lysosomal membrane, endoplasmic reticulum, nuclear membrane"
"1458";"Q702N8";"Q702N8-3";"XIRP1_HUMAN";"Xin actin-binding repeat-containing protein 1";"XIRP1";"2";"2";"1.9921850410895E-5";"2";"0";"2";"0";"0";"0";"0";"fascia adherens"
"1459";"Q709C8";"Q709C8-3";"VP13C_HUMAN";"Vacuolar protein sorting-associated protein 13C";"VPS13C";"1";"1";"1.46746484041884E-5";"0";"1";"0";"1";"0";"0";"4";"extracellular vesicular exosome"
"1460";"Q709C8";"Q709C8-4";"VP13C_HUMAN";"Vacuolar protein sorting-associated protein 13C";"VPS13C";"1";"1";"1.46746484041884E-5";"0";"1";"0";"1";"0";"0";"4";"extracellular vesicular exosome"
"1461";"Q71DI3";"Q71DI3";"H32_HUMAN";"Histone H3.2";"HIST2H3A,HIST2H3C,HIST2H3D";"1";"11";"0.00213887239491373";"1";"0";"11";"0";"0.00429939819302468";"0";"12";"nucleosome, extracellular vesicular exosome, nucleoplasm"
"1462";"Q71F23";"Q71F23-1";"CENPU_HUMAN";"Centromere protein U";"MLF1IP";"3";"3";"1.31755874308419E-4";"3";"0";"3";"0";"0";"0";"0";"cytosol, centrosome, nucleoplasm, condensed chromosome kinetochore"
"1463";"Q71U36";"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";"0";"0";"0";"0";"0";"0";"0";"0";"0";"245";"cytosol, microtubule, cytoplasmic microtubule, extracellular vesicular exosome"
"1464";"Q71UI9";"Q71UI9-2";"H2AV_HUMAN";"Histone H2A.V";"H2AFV";"1";"4";"0.00215451353539244";"1";"1";"2";"2";"0";"0";"25";"nucleosome, nucleus"
"1465";"Q71UM5";"Q71UM5";"RS27L_HUMAN";"40S ribosomal protein S27-like";"RPS27L";"1";"2";"6.99351815376751E-4";"0";"1";"0";"2";"0";"0.00274291572838287";"3";"ribosome, nucleus"
"1466";"Q75T13";"Q75T13-2";"PGAP1_HUMAN";"GPI inositol-deacylase";"PGAP1";"1";"1";"2.98665702065722E-5";"1";"0";"1";"0";"0";"0";"1";"integral component of membrane, endoplasmic reticulum membrane"
"1467";"Q76LX8";"Q76LX8-1";"ATS13_HUMAN";"A disintegrin and metalloproteinase with thrombospondin motifs 13";"ADAMTS13";"2";"2";"2.5729481644905E-5";"0";"2";"0";"2";"0";"0";"0";"proteinaceous extracellular matrix, cell surface, extracellular space"
"1468";"Q76NI1";"Q76NI1-5";"VKIND_HUMAN";"Protein very KIND";"KNDC1";"2";"2";"2.09925502042764E-5";"2";"0";"2";"0";"0";"0";"0";"dendrite, guanyl-nucleotide exchange factor complex, neuronal cell body"
"1469";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";"29";"91";"0.00183579851536397";"26";"16";"59";"32";"0.00239253570600451";"0.00270071702486929";"0";"mitochondrion, nucleus, melanosome, extracellular vesicular exosome, RISC complex, cytoplasm"
"1470";"Q7L1Q6";"Q7L1Q6-1,Q7L1Q6-3,Q7L1Q6-4";"BZW1_HUMAN";"Basic leucine zipper and W2 domain-containing protein 1";"BZW1";"3";"5";"1.2779027056034E-4";"3";"0";"5";"0";"0";"0";"6";"cytoplasm"
"1471";"Q7L2H7";"Q7L2H7";"EIF3M_HUMAN";"Eukaryotic translation initiation factor 3 subunit M";"EIF3M";"7";"20";"9.81710436023514E-4";"6";"5";"10";"10";"9.86679730111531E-4";"0.00205351979665028";"0";"eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"1472";"Q7L576";"Q7L576-1";"CYFP1_HUMAN";"Cytoplasmic FMR1-interacting protein 1";"CYFIP1";"2";"2";"2.93024503649477E-5";"0";"2";"0";"2";"0";"0";"0";"SCAR complex, extracellular vesicular exosome, mRNA cap binding complex, neuron projection, cell junction, lamellipodium, synapse, ruffle, perinuclear region of cytoplasm"
"1473";"Q7L5N7";"Q7L5N7-1";"PCAT2_HUMAN";"Lysophosphatidylcholine acyltransferase 2";"LPCAT2";"2";"2";"6.74925924766166E-5";"2";"0";"2";"0";"0";"0";"0";"lipid particle, integral component of membrane, Golgi stack, Golgi membrane, endoplasmic reticulum membrane"
"1474";"Q7LGA3";"Q7LGA3-2";"HS2ST_HUMAN";"Heparan sulfate 2-O-sulfotransferase 1";"HS2ST1";"2";"2";"1.03134748054156E-4";"2";"0";"2";"0";"0";"0";"0";"integral component of membrane, Golgi membrane"
"1475";"Q7RTP6";"Q7RTP6-2";"MICA3_HUMAN";"Protein-methionine sulfoxide oxidase MICAL3";"MICAL3";"3";"3";"2.75094682621974E-5";"0";"3";"0";"3";"0";"0";"0";"cytoplasm, cytoskeleton"
"1476";"Q7RTS7";"Q7RTS7";"K2C74_HUMAN";"Keratin, type II cytoskeletal 74";"KRT74";"1";"1";"4.52242872713396E-5";"1";"0";"1";"0";"7.19696761383178E-5";"0";"11";"keratin filament"
"1477";"Q7RTU9";"Q7RTU9";"STRC_HUMAN";"Stereocilin";"STRC";"2";"2";"2.06850536942419E-5";"2";"0";"2";"0";"4.15795176407563E-5";"0";"0";"stereocilium, cell surface, stereocilium bundle tip, kinocilium"
"1478";"Q7Z2W4";"Q7Z2W4-1";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";"1";"1";"3.05288001446337E-5";"1";"0";"1";"0";"0";"0";"1";"nucleus, plasma membrane, Golgi apparatus, cytoplasm"
"1479";"Q7Z2Z1";"Q7Z2Z1-2";"TICRR_HUMAN";"Treslin";"TICRR";"2";"2";"1.92230211032877E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus"
"1480";"Q7Z333";"Q7Z333-4";"SETX_HUMAN";"Probable helicase senataxin";"SETX";"2";"2";"2.37161120618867E-5";"0";"2";"0";"2";"0";"0";"3";"nucleoplasm, nucleolus, cytoplasm"
"1481";"Q7Z333";"Q7Z333-3";"SETX_HUMAN";"Probable helicase senataxin";"SETX";"1";"1";"1.18580560309433E-5";"0";"1";"0";"1";"0";"0";"3";"nucleoplasm, nucleolus, cytoplasm"
"1482";"Q7Z3B1";"Q7Z3B1";"NEGR1_HUMAN";"Neuronal growth regulator 1";"NEGR1";"6";"14";"7.26022011725864E-4";"6";"0";"14";"0";"0.00145939408668474";"0";"0";"anchored component of membrane, plasma membrane"
"1483";"Q7Z3K3";"Q7Z3K3-3";"POGZ_HUMAN";"Pogo transposable element with ZNF domain";"POGZ";"2";"2";"2.60396952533897E-5";"2";"0";"2";"0";"0";"0";"0";"cytoplasm, nuclear chromatin"
"1484";"Q7Z3Z4";"Q7Z3Z4-1";"PIWL4_HUMAN";"Piwi-like protein 4";"PIWIL4";"2";"2";"4.3093861863004E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus, piP-body"
"1485";"Q7Z401";"Q7Z401-1,Q7Z401-2";"MYCPP_HUMAN";"C-myc promoter-binding protein";"DENND4A";"2";"2";"9.85399095740188E-6";"2";"0";"2";"0";"0";"0";"0";"nucleus"
"1486";"Q7Z406";"Q7Z406-6";"MYH14_HUMAN";"Myosin-14";"MYH14";"1";"1";"2.04185480495384E-5";"1";"0";"1";"0";"0";"0";"20";"extracellular vesicular exosome, stress fiber, cytoplasm, myosin complex, axon, growth cone"
"1487";"Q7Z406";"Q7Z406-1";"MYH14_HUMAN";"Myosin-14";"MYH14";"1";"1";"2.04185480495384E-5";"0";"1";"0";"1";"0";"0";"20";"extracellular vesicular exosome, stress fiber, cytoplasm, myosin complex, axon, growth cone"
"1488";"Q7Z407";"Q7Z407-4";"CSMD3_HUMAN";"CUB and sushi domain-containing protein 3";"CSMD3";"3";"3";"1.4856745470979E-5";"0";"3";"0";"3";"0";"0";"0";"plasma membrane, integral component of membrane"
"1489";"Q7Z460";"Q7Z460-3";"CLAP1_HUMAN";"CLIP-associating protein 1";"CLASP1";"2";"2";"2.59789432679825E-5";"0";"2";"0";"2";"0";"0";"3";"cytosol, cortical microtubule cytoskeleton, centrosomal corona, Golgi apparatus, kinetochore, condensed chromosome kinetochore, cytoplasmic microtubule, kinetochore microtubule"
"1490";"Q7Z4N2";"Q7Z4N2-1,Q7Z4N2-2,Q7Z4N2-3";"TRPM1_HUMAN";"Transient receptor potential cation channel subfamily M member 1";"TRPM1";"2";"2";"7.6348451460344E-6";"0";"2";"0";"2";"0";"0";"0";"new growing cell tip, integral component of plasma membrane"
"1491";"Q7Z4S6";"Q7Z4S6-4";"KI21A_HUMAN";"Kinesin-like protein KIF21A";"KIF21A";"2";"2";"2.19330766471203E-5";"2";"0";"2";"0";"0";"0";"0";"microtubule, kinesin complex, cytoplasm"
"1492";"Q7Z4S6";"Q7Z4S6-1";"KI21A_HUMAN";"Kinesin-like protein KIF21A";"KIF21A";"1";"1";"1.27942947108202E-5";"0";"1";"0";"1";"0";"0";"1";"microtubule, kinesin complex, cytoplasm"
"1493";"Q7Z5K2";"Q7Z5K2-2";"WAPL_HUMAN";"Wings apart-like protein homolog";"WAPAL";"1";"1";"4.62806348411085E-5";"1";"0";"1";"0";"0";"0";"2";"synaptonemal complex, cohesin complex, microtubule cytoskeleton, nucleoplasm, chromatin, cytosol, chromosome, centromeric region"
"1494";"Q7Z5K2";"Q7Z5K2-1";"WAPL_HUMAN";"Wings apart-like protein homolog";"WAPAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"synaptonemal complex, cohesin complex, microtubule cytoskeleton, nucleoplasm, chromatin, cytosol, chromosome, centromeric region"
"1495";"Q7Z5L9";"Q7Z5L9-1,Q7Z5L9-2";"I2BP2_HUMAN";"Interferon regulatory factor 2-binding protein 2";"IRF2BP2";"3";"3";"4.69113760314473E-5";"3";"0";"3";"0";"0";"0";"0";"cytoplasm, nucleus"
"1496";"Q7Z6E9";"Q7Z6E9-2";"RBBP6_HUMAN";"E3 ubiquitin-protein ligase RBBP6";"RBBP6";"1";"1";"1.53666170370868E-5";"1";"0";"1";"0";"0";"0";"1";"cytoplasm, microtubule organizing center, nucleolus, chromosome"
"1497";"Q7Z6E9";"Q7Z6E9-1";"RBBP6_HUMAN";"E3 ubiquitin-protein ligase RBBP6";"RBBP6";"1";"1";"1.53666170370868E-5";"1";"0";"1";"0";"0";"0";"1";"cytoplasm, microtubule organizing center, nucleolus, chromosome"
"1498";"Q7Z6J0";"Q7Z6J0-1";"SH3R1_HUMAN";"E3 ubiquitin-protein ligase SH3RF1";"SH3RF1";"2";"3";"6.20202201136477E-5";"0";"2";"0";"3";"0";"0";"0";"perinuclear region of cytoplasm, Golgi apparatus, lamellipodium, cytosol"
"1499";"Q7Z6J8";"Q7Z6J8";"UBE3D_HUMAN";"E3 ubiquitin-protein ligase E3D";"UBE3D";"2";"2";"9.43855277822093E-5";"2";"0";"2";"0";"1.8972659077723E-4";"0";"0";"cytoplasm"
"1500";"Q7Z6L1";"Q7Z6L1-2";"TCPR1_HUMAN";"Tectonin beta-propeller repeat-containing protein 1";"TECPR1";"2";"3";"4.72737815115186E-5";"0";"2";"0";"3";"0";"0";"0";"integral component of membrane, lysosomal membrane, autophagic vacuole membrane, cytoplasmic vesicle"
"1501";"Q7Z6Z7";"Q7Z6Z7-3";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";"4";"4";"5.2043670760204E-5";"2";"2";"2";"2";"0";"0";"21";"nucleus, cytoplasm, extracellular vesicular exosome"
"1502";"Q7Z6Z7";"Q7Z6Z7-1";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"nucleus, cytoplasm, extracellular vesicular exosome"
"1503";"Q7Z6Z7";"Q7Z6Z7-2";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";"6";"6";"7.80655061403061E-5";"4";"2";"4";"2";"0";"0";"21";"nucleus, cytoplasm, extracellular vesicular exosome"
"1504";"Q86U06";"Q86U06-4";"RBM23_HUMAN";"Probable RNA-binding protein 23";"RBM23";"2";"5";"2.32320743528723E-4";"1";"2";"1";"4";"0";"0";"1";"nucleus"
"1505";"Q86U86";"Q86U86-2";"PB1_HUMAN";"Protein polybromo-1";"PBRM1";"2";"2";"2.71728613878622E-5";"2";"0";"2";"0";"0";"0";"1";"kinetochore, nuclear chromosome"
"1506";"Q86U86";"Q86U86-3";"PB1_HUMAN";"Protein polybromo-1";"PBRM1";"1";"1";"1.44921927401932E-5";"0";"1";"0";"1";"0";"0";"1";"kinetochore, nuclear chromosome"
"1507";"Q86U86";"Q86U86-8";"PB1_HUMAN";"Protein polybromo-1";"PBRM1";"2";"2";"3.44189577579588E-5";"1";"1";"1";"1";"0";"0";"2";"kinetochore, nuclear chromosome"
"1508";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";"12";"42";"0.00132480305232452";"11";"6";"23";"19";"0.00145831942240883";"0.00250727004725032";"0";"nucleolus, intercellular canaliculus, tight junction, perinuclear region of cytoplasm, endoplasmic reticulum membrane, integral component of membrane, apical plasma membrane, nuclear body, nuclear membrane"
"1509";"Q86UL8";"Q86UL8-2";"MAGI2_HUMAN";"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2";"MAGI2";"2";"2";"2.52343438538003E-5";"2";"0";"2";"0";"0";"0";"0";"slit diaphragm, protein complex, late endosome, perinuclear region of cytoplasm, nucleus, postsynaptic density, tight junction, dendrite, plasma membrane"
"1510";"Q86UQ4";"Q86UQ4-3";"ABCAD_HUMAN";"ATP-binding cassette sub-family A member 13";"ABCA13";"2";"2";"7.25898978000779E-6";"2";"0";"2";"0";"0";"0";"0";"integral component of membrane"
"1511";"Q86UQ4";"Q86UQ4-1";"ABCAD_HUMAN";"ATP-binding cassette sub-family A member 13";"ABCA13";"2";"4";"1.45179795600156E-5";"0";"2";"0";"4";"0";"0";"0";"integral component of membrane"
"1512";"Q86UW7";"Q86UW7-3";"CAPS2_HUMAN";"Calcium-dependent secretion activator 2";"CADPS2";"2";"2";"2.83302240025304E-5";"2";"0";"2";"0";"0";"0";"0";"presynaptic membrane, postsynaptic membrane, cytoplasmic vesicle membrane, cell junction"
"1513";"Q86UW8";"Q86UW8";"HPLN4_HUMAN";"Hyaluronan and proteoglycan link protein 4";"HAPLN4";"2";"2";"9.13332594708443E-5";"2";"0";"2";"0";"1.83591153762046E-4";"0";"0";"proteinaceous extracellular matrix"
"1514";"Q86UX2";"Q86UX2-3";"ITIH5_HUMAN";"Inter-alpha-trypsin inhibitor heavy chain H5";"ITIH5";"2";"2";"3.89766139143094E-5";"2";"0";"2";"0";"0";"0";"0";"extracellular region"
"1515";"Q86UX7";"Q86UX7-1,Q86UX7-2";"URP2_HUMAN";"Fermitin family homolog 3";"FERMT3";"2";"4";"5.50464322447967E-5";"2";"0";"4";"0";"0";"0";"0";"extracellular vesicular exosome, podosome, cell projection, cell junction"
"1516";"Q86V81";"Q86V81";"THOC4_HUMAN";"THO complex subunit 4";"ALYREF";"3";"9";"6.42886639621624E-4";"3";"2";"4";"5";"5.74347422664144E-4";"0.00149419533841869";"0";"transcription export complex, cytosol, nuclear speck, nucleoplasm, extracellular vesicular exosome, catalytic step 2 spliceosome"
"1517";"Q86VF2";"Q86VF2-3";"IGFN1_HUMAN";"Immunoglobulin-like and fibronectin type III domain-containing protein 1";"IGFN1";"2";"2";"2.93492968083768E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus, Z disc"
"1518";"Q86VF7";"Q86VF7-2";"NRAP_HUMAN";"Nebulin-related-anchoring protein";"NRAP";"1";"1";"1.19379961259218E-5";"1";"0";"1";"0";"0";"0";"1";"myofibril, muscle tendon junction, fascia adherens"
"1519";"Q86VF7";"Q86VF7-4";"NRAP_HUMAN";"Nebulin-related-anchoring protein";"NRAP";"3";"5";"5.96899806296089E-5";"1";"2";"1";"4";"0";"0";"1";"myofibril, muscle tendon junction, fascia adherens"
"1520";"Q86VF7";"Q86VF7-1";"NRAP_HUMAN";"Nebulin-related-anchoring protein";"NRAP";"2";"2";"2.38759922518436E-5";"2";"0";"2";"0";"0";"0";"1";"myofibril, muscle tendon junction, fascia adherens"
"1521";"Q86VP6";"Q86VP6-1";"CAND1_HUMAN";"Cullin-associated NEDD8-dissociated protein 1";"CAND1";"2";"2";"2.98503823636418E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasm, cullin-RING ubiquitin ligase complex, nucleus, extracellular vesicular exosome"
"1522";"Q86VS8";"Q86VS8";"HOOK3_HUMAN";"Protein Hook homolog 3";"HOOK3";"2";"2";"5.11364488959323E-5";"2";"0";"2";"0";"1.02790590267886E-4";"0";"0";"microtubule, centriolar satellite, pericentriolar material, FHF complex, Golgi apparatus, cis-Golgi network"
"1523";"Q86VV8";"Q86VV8-1";"RTTN_HUMAN";"Rotatin";"RTTN";"1";"1";"1.09960977260495E-5";"1";"0";"1";"0";"0";"0";"1";"ciliary basal body, cytoplasm"
"1524";"Q86VV8";"Q86VV8-3";"RTTN_HUMAN";"Rotatin";"RTTN";"1";"1";"1.09960977260495E-5";"1";"0";"1";"0";"0";"0";"1";"ciliary basal body, cytoplasm"
"1525";"Q86VZ4";"Q86VZ4-1";"LRP11_HUMAN";"Low-density lipoprotein receptor-related protein 11";"LRP11";"2";"2";"7.34319406145589E-5";"0";"2";"0";"2";"0";"0";"0";"integral component of membrane"
"1526";"Q86W26";"Q86W26";"NAL10_HUMAN";"NACHT, LRR and PYD domains-containing protein 10";"NLRP10";"2";"2";"5.60549164996632E-5";"2";"0";"2";"0";"1.12677318797469E-4";"0";"0";"extrinsic component of plasma membrane, cytoplasm"
"1527";"Q86WD7";"Q86WD7-6";"SPA9_HUMAN";"Serpin A9";"SERPINA9";"2";"2";"8.80478904251305E-5";"0";"2";"0";"2";"0";"0";"0";"extracellular space, cytoplasm, membrane"
"1528";"Q86WI1";"Q86WI1";"PKHL1_HUMAN";"Fibrocystin-L";"PKHD1L1";"1";"1";"9.7349673805537E-6";"0";"1";"0";"1";"0";"7.2403149087646E-5";"5";"cytosol, extracellular space, integral component of membrane"
"1529";"Q86Y22";"Q86Y22-1";"CONA1_HUMAN";"Collagen alpha-1(XXIII) chain";"COL23A1";"2";"2";"6.7992537606073E-5";"0";"2";"0";"2";"0";"0";"0";"endoplasmic reticulum lumen, integral component of membrane, plasma membrane, collagen"
"1530";"Q86Y38";"Q86Y38";"XYLT1_HUMAN";"Xylosyltransferase 1";"XYLT1";"3";"3";"5.74285249853171E-5";"0";"3";"0";"3";"0";"2.40255392267113E-4";"0";"extracellular region, Golgi membrane, endoplasmic reticulum membrane, integral component of membrane"
"1531";"Q86Y46";"Q86Y46-1";"K2C73_HUMAN";"Keratin, type II cytoskeletal 73";"KRT73";"2";"3";"1.32909155369659E-4";"2";"1";"2";"1";"0";"0";"11";"extracellular vesicular exosome, keratin filament"
"1532";"Q86YA3";"Q86YA3-1,Q86YA3-2";"CD021_HUMAN";"Uncharacterized protein C4orf21";"C4orf21";"1";"1";"1.72862383744253E-5";"1";"0";"1";"0";"0";"0";"1";"integral component of membrane"
"1533";"Q86YP4";"Q86YP4-1,Q86YP4-2";"P66A_HUMAN";"Transcriptional repressor p66-alpha";"GATAD2A";"2";"2";"2.90015563248653E-5";"2";"0";"2";"0";"0";"0";"0";"NuRD complex, nuclear speck"
"1534";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";"8";"16";"1.03062372792363E-4";"5";"5";"8";"8";"1.03584061491007E-4";"2.1558355198518E-4";"0";"cornified envelope, extracellular vesicular exosome"
"1535";"Q8IUA7";"Q8IUA7-1";"ABCA9_HUMAN";"ATP-binding cassette sub-family A member 9";"ABCA9";"6";"7";"7.91292463518953E-5";"6";"0";"7";"0";"0";"0";"0";"integral component of membrane, mitochondrion"
"1536";"Q8IUE6";"Q8IUE6";"H2A2B_HUMAN";"Histone H2A type 2-B";"HIST2H2AB";"1";"1";"5.57800318129822E-4";"1";"0";"1";"0";"0.00113544067403604";"0";"16";"extracellular vesicular exosome, nucleosome, nucleus"
"1537";"Q8IV77";"Q8IV77-1";"CNGA4_HUMAN";"Cyclic nucleotide-gated cation channel alpha-4";"CNGA4";"2";"2";"6.38538614039642E-5";"2";"0";"2";"0";"0";"0";"0";"integral component of plasma membrane"
"1538";"Q8IVE3";"Q8IVE3-1";"PKHH2_HUMAN";"Pleckstrin homology domain-containing family H member 2";"PLEKHH2";"3";"3";"3.68881148432144E-5";"3";"0";"3";"0";"0";"0";"0";"plasma membrane, lamellipodium, cortical actin cytoskeleton"
"1539";"Q8IVF2";"Q8IVF2-1";"AHNK2_HUMAN";"Protein AHNAK2";"AHNAK2";"3";"3";"9.50370240913186E-6";"0";"3";"0";"3";"0";"0";"0";"T-tubule, costamere, nucleus, cytoplasmic vesicle membrane, Z disc"
"1540";"Q8IVF2";"Q8IVF2-3";"AHNK2_HUMAN";"Protein AHNAK2";"AHNAK2";"4";"4";"1.26716032121758E-5";"4";"0";"4";"0";"0";"0";"0";"T-tubule, costamere, nucleus, cytoplasmic vesicle membrane, Z disc"
"1541";"Q8IVF4";"Q8IVF4-1";"DYH10_HUMAN";"Dynein heavy chain 10, axonemal";"DNAH10";"3";"3";"1.23180396915498E-5";"0";"3";"0";"3";"0";"0";"0";"cytoplasm, microtubule, dynein complex, cilium"
"1542";"Q8IVL0";"Q8IVL0-2";"NAV3_HUMAN";"Neuron navigator 3";"NAV3";"3";"3";"2.3091805224704E-5";"0";"3";"0";"3";"0";"0";"0";"nuclear outer membrane"
"1543";"Q8IVL1";"Q8IVL1-3";"NAV2_HUMAN";"Neuron navigator 2";"NAV2";"1";"1";"9.2232642451968E-6";"0";"1";"0";"1";"0";"0";"1";"nucleus, interstitial matrix"
"1544";"Q8IVL1";"Q8IVL1-13";"NAV2_HUMAN";"Neuron navigator 2";"NAV2";"1";"1";"9.2232642451968E-6";"0";"1";"0";"1";"0";"0";"1";"nucleus, interstitial matrix"
"1545";"Q8IVL1";"Q8IVL1-1";"NAV2_HUMAN";"Neuron navigator 2";"NAV2";"2";"2";"3.32037512827085E-5";"1";"1";"1";"1";"0";"0";"4";"nucleus, interstitial matrix"
"1546";"Q8IVL1";"Q8IVL1-11";"NAV2_HUMAN";"Neuron navigator 2";"NAV2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"nucleus, interstitial matrix"
"1547";"Q8IVL1";"Q8IVL1-10";"NAV2_HUMAN";"Neuron navigator 2";"NAV2";"1";"1";"1.47572227923149E-5";"1";"0";"1";"0";"0";"0";"3";"nucleus, interstitial matrix"
"1548";"Q8IVM0";"Q8IVM0-1,Q8IVM0-2";"CCD50_HUMAN";"Coiled-coil domain-containing protein 50";"CCDC50";"2";"2";"5.99934155347703E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasm"
"1549";"Q8IWA4";"Q8IWA4-2";"MFN1_HUMAN";"Mitofusin-1";"MFN1";"2";"2";"4.95492176886362E-5";"0";"2";"0";"2";"0";"0";"0";"mitochondrial outer membrane, integral component of membrane"
"1550";"Q8IWS0";"Q8IWS0-1,Q8IWS0-2";"PHF6_HUMAN";"PHD finger protein 6";"PHF6";"2";"4";"1.00591699471998E-4";"2";"0";"4";"0";"0";"0";"0";"nucleolus"
"1551";"Q8IWV8";"Q8IWV8-1";"UBR2_HUMAN";"E3 ubiquitin-protein ligase UBR2";"UBR2";"2";"2";"2.09207808018686E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus, ubiquitin ligase complex, chromatin, plasma membrane"
"1552";"Q8IWX8";"Q8IWX8";"CHERP_HUMAN";"Calcium homeostasis endoplasmic reticulum protein";"CHERP";"2";"7";"1.40290279558382E-4";"2";"0";"7";"0";"2.82000822427073E-4";"0";"0";"perinuclear region of cytoplasm, sarcoplasmic reticulum membrane"
"1553";"Q8IWY9";"Q8IWY9-1";"CDAN1_HUMAN";"Codanin-1";"CDAN1";"2";"2";"2.99233661836018E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus, integral component of membrane, cytoplasm"
"1554";"Q8IWZ3";"Q8IWZ3-6";"ANKH1_HUMAN";"Ankyrin repeat and KH domain-containing protein 1";"ANKHD1";"1";"1";"7.60703292492807E-6";"1";"0";"1";"0";"0";"0";"4";"nucleus, cytoplasm"
"1555";"Q8IX01";"Q8IX01-3";"SUGP2_HUMAN";"SURP and G-patch domain-containing protein 2";"SUGP2";"3";"4";"6.78668582389638E-5";"0";"3";"0";"4";"0";"0";"0";"nucleus"
"1556";"Q8IXK2";"Q8IXK2-1,Q8IXK2-2";"GLT12_HUMAN";"Polypeptide N-acetylgalactosaminyltransferase 12";"GALNT12";"2";"2";"3.15972205742508E-5";"2";"0";"2";"0";"0";"0";"0";"integral component of membrane, Golgi membrane"
"1557";"Q8IY21";"Q8IY21";"DDX60_HUMAN";"Probable ATP-dependent RNA helicase DDX60";"DDX60";"1";"1";"1.34039027114776E-5";"1";"0";"1";"0";"4.31096050305739E-5";"0";"1";"cytoplasm"
"1558";"Q8IY81";"Q8IY81";"RRMJ3_HUMAN";"pre-rRNA processing protein FTSJ3";"FTSJ3";"5";"6";"1.3004475905766E-4";"2";"3";"2";"4";"8.71353527890702E-5";"3.62699600447322E-4";"0";"nucleolus"
