"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"1371";1371;"Q9BWH2";"Q9BWH2";"FUND2_HUMAN";"FUN14 domain-containing protein 2";"FUNDC2";4;8;0,000791711787419732;4;4;4;4;0,000792640641740781;0,000791059919664228;"nucleus, mitochondrion";0,000379272744512397;FALSE
"1372";1372;"Q9BWH6";"Q9BWH6-1,Q9BWH6-2";"RPAP1_HUMAN";"RNA polymerase II-associated protein 1";"RPAP1";4;5;3,35681819414773e-05;2;3;2;3;2,68860519183431e-05;4,02486516914589e-05;"nucleus";0,000237045465320248;FALSE
"1379";1379;"Q9BY32";"Q9BY32-1";"ITPA_HUMAN";"Inosine triphosphate pyrophosphatase";"ITPA";3;4;0,000385653422222498;1;3;1;3;0,000193052939805422;0,000578003833053631;"cytosol";0,000189636372256199;FALSE
"1380";1380;"Q9BY41";"Q9BY41-1,Q9BY41-2,Q9BY41-4,Q9BY41-5";"HDAC8_HUMAN";"Histone deacetylase 8";"HDAC8";1;1;1,24033096669703e-05;1;NA;1;NA;2,4835723025366e-05;NA;"cytosol, nuclear chromosome, nucleus, histone deacetylase complex, cytoplasm";4,74090930640497e-05;FALSE
"1381";1381;"Q9BZE1";"Q9BZE1";"RM37_HUMAN";"39S ribosomal protein L37, mitochondrial";"MRPL37";4;6;0,000265307673443846;3;3;3;3;0,000265618938455687;0,000265089228398119;"mitochondrion, mitochondrial ribosome";0,000284454558384298;FALSE
"1387";1387;"Q9C0E2";"Q9C0E2";"XPO4_HUMAN";"Exportin-4";"XPO4";24;48;0,000780018390038207;22;20;25;23;0,000813472422290441;0,000746902143957515;"cytoplasm, nucleus";0,00227563646707438;FALSE
"1392";1392;"Q9GZT3";"Q9GZT3";"SLIRP_HUMAN";"SRA stem-loop-interacting RNA-binding protein, mitochondrial";"SLIRP";6;11;0,00188757890601562;3;6;4;7;0,00137439524118356;0,00240039512320132;"ribonucleoprotein complex, mitochondrion, nucleus";0,000521500023704547;FALSE
"1397";1397;"Q9H0P0";"Q9H0P0-1,Q9H0P0-2,Q9H0P0-3,Q9H0P0-4";"5NT3A_HUMAN";"Cytosolic 5'-nucleotidase 3A";"NT5C3A";1;1;1,39168087632375e-05;1;NA;1;NA;2,78662725611993e-05;NA;"mitochondrion, cytosol, endoplasmic reticulum, cytoplasm";4,74090930640497e-05;FALSE
"1398";1398;"Q9H0Q0";"Q9H0Q0";"FA49A_HUMAN";"Protein FAM49A";"FAM49A";2;3;0,000260584704024954;2;1;2;1;0,000309203470152751;0,000231440131294952;"intracellular";0,000142227279192149;FALSE
"1412";1412;"Q9H3U1";"Q9H3U1-1,Q9H3U1-2";"UN45A_HUMAN";"Protein unc-45 homolog A";"UNC45A";12;21;0,000208044497104669;10;10;11;10;0,000218207083445324;0,000197974476716816;"perinuclear region of cytoplasm, nucleus, Golgi apparatus, cytoplasm";0,000995590954345043;FALSE
"1422";1422;"Q9H5Q4";"Q9H5Q4";"TFB2M_HUMAN";"Dimethyladenosine transferase 2, mitochondrial";"TFB2M";3;3;0,000141698416498418;NA;3;NA;3;NA;0,000283163493970718;"mitochondrial nucleoid, mitochondrial matrix";0,000142227279192149;FALSE
"1423";1423;"Q9H5X1";"Q9H5X1-1,Q9H5X1-2";"FA96A_HUMAN";"MIP18 family protein FAM96A";"FAM96A";1;2;0,000116901193611195;1;1;1;1;0,000117038344757037;0,000116804941262921;"nucleus, cytoplasm";9,48181861280994e-05;FALSE
"1425";1425;"Q9H7B4";"Q9H7B4-1,Q9H7B4-2,Q9H7B4-3";"SMYD3_HUMAN";"Histone-lysine N-methyltransferase SMYD3";"SMYD3";2;3;5,16470863872738e-05;2;1;2;1;6,80596812709666e-05;3,4932318882369e-05;"nucleus, cytoplasm";0,000142227279192149;FALSE
"1426";1426;"Q9H7D0";"Q9H7D0-1";"DOCK5_HUMAN";"Dedicator of cytokinesis protein 5";"DOCK5";2;2;2,14333739241304e-05;1;1;1;1;2,11406160464286e-05;2,1653678950702e-05;"cytoplasm";9,48181861280994e-05;FALSE
"1428";1428;"Q9H845";"Q9H845";"ACAD9_HUMAN";"Acyl-CoA dehydrogenase family member 9, mitochondrial";"ACAD9";13;24;0,000722867284165842;13;10;13;11;0,000784024982591425;0,000662082758849408;"dendrite, nucleus, mitochondrion";0,00113781823353719;FALSE
"1432";1432;"Q9H900";"Q9H900-1";"ZWILC_HUMAN";"Protein zwilch homolog";"ZWILCH";4;8;0,000253187018311894;4;3;5;3;0,00031685507886846;0,000189733914741801;"condensed chromosome kinetochore, cytosol, kinetochore";0,000379272744512397;FALSE
"1439";1439;"Q9HAV4";"Q9HAV4";"XPO5_HUMAN";"Exportin-5";"XPO5";38;88;0,00136708372595151;32;37;40;48;0,00124426147250006;0,00149013612773959;"cytoplasm, nucleoplasm, nucleus, cytosol";0,00417200018963637;FALSE
"1440";1440;"Q9HB40";"Q9HB40-1,Q9HB40-2";"RISC_HUMAN";"Retinoid-inducible serine carboxypeptidase";"SCPEP1";2;2;4,13809534906884e-05;NA;2;NA;2;NA;8,26937637259619e-05;"cytosol, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"1445";1445;"Q9HCG8";"Q9HCG8";"CWC22_HUMAN";"Pre-mRNA-splicing factor CWC22 homolog";"CWC22";1;3;6,17979878120853e-05;1;1;2;1;8,24939874939469e-05;4,1164737008959e-05;"spliceosomal complex, nuclear speck, catalytic step 2 spliceosome, cytoplasm, nucleus";0,000142227279192149;FALSE
"1451";1451;"Q9NP92";"Q9NP92";"RT30_HUMAN";"28S ribosomal protein S30, mitochondrial";"MRPS30";1;1;4,26063575803899e-05;1;NA;1;NA;8,53126886611661e-05;NA;"mitochondrion, ribosome";4,74090930640497e-05;FALSE
"1458";1458;"Q9NQE9";"Q9NQE9";"HINT3_HUMAN";"Histidine triad nucleotide-binding protein 3";"HINT3";2;4;0,000411081120391015;1;2;1;3;0,000205781705067318;0,000616113975892332;"mitochondrion, extracellular vesicular exosome, cytoplasm, nucleolus";0,000189636372256199;FALSE
"1461";1461;"Q9NR31";"Q9NR31";"SAR1A_HUMAN";"GTP-binding protein SAR1a";"SAR1A";5;13;0,00148389730610843;5;5;6;7;0,00139682127075998;0,0015616895728082;"extracellular vesicular exosome, Golgi apparatus, sarcoplasmic reticulum";0,000616318209832646;FALSE
"1462";1462;"Q9NR50";"Q9NR50-1,Q9NR50-2,Q9NR50-3";"EI2BG_HUMAN";"Translation initiation factor eIF-2B subunit gamma";"EIF2B3";5;8;0,000110349209308502;4;4;4;4;0,000110478673516967;0,000110258351634616;"cytoplasm, eukaryotic translation initiation factor 2B complex, cytosol";0,000379272744512397;FALSE
"1463";1463;"Q9NR56";"Q9NR56-1,Q9NR56-2,Q9NR56-3,Q9NR56-4,Q9NR56-5,Q9NR56-6";"MBNL1_HUMAN";"Muscleblind-like protein 1";"MBNL1";2;2;1,60688925926041e-05;2;NA;2;NA;3,21754899675704e-05;NA;"nucleus, cytoplasmic stress granule, cytoplasm";9,48181861280994e-05;FALSE
"1471";1471;"Q9NRW3";"Q9NRW3";"ABC3C_HUMAN";"DNA dC->dU-editing enzyme APOBEC-3C";"APOBEC3C";1;2;0,000196886220818854;1;1;1;1;0,000197117212222378;0,000196724111600709;"cytoplasm, nucleus";9,48181861280994e-05;FALSE
"1475";1475;"Q9NTI5";"Q9NTI5-1,Q9NTI5-2";"PDS5B_HUMAN";"Sister chromatid cohesion protein PDS5 homolog B";"PDS5B";1;1;7,77444513464473e-06;1;0;1;0;1,56057470142316e-05;0;"nucleoplasm, chromosome, nucleus, chromatin, chromosome, centromeric region, cytosol";4,74090930640497e-05;FALSE
"1476";1476;"Q9NTJ3";"Q9NTJ3-1,Q9NTJ3-2";"SMC4_HUMAN";"Structural maintenance of chromosomes protein 4";"SMC4";2;3;2,1782831107676e-05;2;NA;3;NA;4,36167744436164e-05;NA;"cytosol, cytoplasm, nucleoplasm, condensin complex, nucleus";0,000142227279192149;FALSE
"1484";1484;"Q9NUQ7";"Q9NUQ7";"UFSP2_HUMAN";"Ufm1-specific protease 2";"UFSP2";3;6;0,000239286025302232;1;3;2;4;0,000159711174082098;0,000318785340760211;"cytoplasm, endoplasmic reticulum, nucleus";0,000284454558384298;FALSE
"1485";1485;"Q9NUQ9";"Q9NUQ9";"FA49B_HUMAN";"Protein FAM49B";"FAM49B";1;1;8,65934767490332e-05;1;0;1;0;0,000154124569227374;NA;"cilium, extracellular vesicular exosome";4,74090930640497e-05;FALSE
"1494";1494;"Q9NW13";"Q9NW13";"RBM28_HUMAN";"RNA-binding protein 28";"RBM28";2;2;4,92864057385801e-05;NA;2;NA;2;NA;9,84916500767715e-05;"spliceosomal complex, nucleolus";9,48181861280994e-05;FALSE
"1497";1497;"Q9NWS8";"Q9NWS8-1";"RMND1_HUMAN";"Required for meiotic nuclear division protein 1 homolog";"RMND1";5;9;0,000374916968374433;4;5;4;5;0,000333650515120284;0,000416231416527113;"mitochondrion";0,000426681837576447;FALSE
"1499";1499;"Q9NWY4";"Q9NWY4";"CD027_HUMAN";"UPF0609 protein C4orf27";"C4orf27";2;2;0,000108116710854284;2;NA;2;NA;0,000216487111689317;NA;"nucleus";9,48181861280994e-05;FALSE
"1501";1501;"Q9NX20";"Q9NX20";"RM16_HUMAN";"39S ribosomal protein L16, mitochondrial";"MRPL16";2;2;0,000149037378309093;2;NA;2;NA;0,000298424464719139;NA;"mitochondrion, ribosome";9,48181861280994e-05;FALSE
"1504";1504;"Q9NX58";"Q9NX58";"LYAR_HUMAN";"Cell growth-regulating nucleolar protein";"LYAR";4;5;0,000246757136910174;3;2;3;2;0,000296455965611493;0,000197243172581186;"nucleolus, nucleus";0,000237045465320248;FALSE
"1511";1511;"Q9NY65";"Q9NY65-1,Q9NY65-2";"TBA8_HUMAN";"Tubulin alpha-8 chain";"TUBA8";0;0;0;0;0;0;0;0;0;"microtubule, cytoplasm";0;FALSE
"1513";1513;"Q9NYH9";"Q9NYH9";"UTP6_HUMAN";"U3 small nucleolar RNA-associated protein 6 homolog";"UTP6";2;2;6,26606062907577e-05;NA;2;NA;2;NA;0,000125218027484539;"nucleolus";9,48181861280994e-05;FALSE
"1522";1522;"Q9NZJ6";"Q9NZJ6";"COQ3_HUMAN";"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial";"COQ3";5;8;0,000405510915507667;4;4;4;4;0,000405986670159912;0,000405177032023141;"mitochondrial matrix";0,000379272744512397;FALSE
"1525";1525;"Q9NZQ3";"Q9NZQ3-1,Q9NZQ3-3";"SPN90_HUMAN";"NCK-interacting protein with SH3 domain";"NCKIPSD";4;7;9,06712859034198e-05;3;4;3;4;7,78094258772547e-05;0,000103539006105637;"nucleus, cytosol, intermediate filament";0,000331863651448348;FALSE
"1538";1538;"Q9P258";"Q9P258";"RCC2_HUMAN";"Protein RCC2";"RCC2";1;1;3,58317834823585e-05;1;NA;1;NA;7,17476442955017e-05;NA;"mitotic spindle midzone, cytosol, midbody, chromosome, centromeric core region, nucleolus, microtubule";4,74090930640497e-05;FALSE
"1543";1543;"Q9P2J5";"Q9P2J5";"SYLC_HUMAN";"Leucine--tRNA ligase, cytoplasmic";"LARS";9;16;0,000254478788813485;7;7;7;9;0,000222930180489595;0,000286052917378583;"cytoplasm, nucleus, cytosol";0,000758545489024795;FALSE
"1544";1544;"Q9P2R7";"Q9P2R7-1,Q9P2R7-2";"SUCB1_HUMAN";"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial";"SUCLA2";1;1;2,0198910343187e-05;NA;1;NA;1;NA;4,03645585357827e-05;"mitochondrial matrix, extracellular vesicular exosome, mitochondrion";4,74090930640497e-05;FALSE
"1549";1549;"Q9UBB9";"Q9UBB9-1";"TFP11_HUMAN";"Tuftelin-interacting protein 11";"TFIP11";5;7;0,000156426925740189;3;4;3;4;0,000134237528036745;0,000178626433472568;"nuclear speck, U2-type post-mRNA release spliceosomal complex, catalytic step 2 spliceosome, cytoplasm, spliceosomal complex, proteinaceous extracellular matrix";0,000331863651448348;FALSE
"1562";1562;"Q9UHA4";"Q9UHA4";"LTOR3_HUMAN";"Ragulator complex protein LAMTOR3";"LAMTOR3";3;6;0,000905041498925379;3;3;3;3;0,00090610331424803;0,000904296319454874;"extracellular vesicular exosome, Ragulator complex";0,000284454558384298;FALSE
"1563";1563;"Q9UHB9";"Q9UHB9-1";"SRP68_HUMAN";"Signal recognition particle subunit SRP68";"SRP68";4;6;0,000178987473471686;2;4;2;4;0,000119464977104472;0,000238453468606921;"signal recognition particle, endoplasmic reticulum targeting, ribosome, cytosol, nucleolus, endoplasmic reticulum";0,000284454558384298;FALSE
"1566";1566;"Q9UHJ6";"Q9UHJ6";"SHPK_HUMAN";"Sedoheptulokinase";"SHPK";2;2;7,82602132961973e-05;NA;2;NA;2;NA;0,000156391553155376;"cytoplasm";9,48181861280994e-05;FALSE
"1571";1571;"Q9UI10";"Q9UI10-1";"EI2BD_HUMAN";"Translation initiation factor eIF-2B subunit delta";"EIF2B4";4;9;0,000321869443212467;4;4;5;4;0,000358052297535869;0,00028587060194367;"eukaryotic translation initiation factor 2B complex, cytosol, cytoplasm";0,000426681837576447;FALSE
"1574";1574;"Q9UI26";"Q9UI26-1,Q9UI26-2";"IPO11_HUMAN";"Importin-11";"IPO11";22;46;0,000441227069219689;20;19;22;24;0,000422538434404893;0,000460031768666274;"cytoplasm, nucleus";0,00218081828094629;FALSE
"1575";1575;"Q9UIA9";"Q9UIA9";"XPO7_HUMAN";"Exportin-7";"XPO7";41;103;0,00177233824352575;37;40;49;54;0,00168828081489452;0,001856843960463;"nuclear pore, cytoplasm, nucleus";0,00488313658559712;FALSE
"1576";1576;"Q9UII2";"Q9UII2-1";"ATIF1_HUMAN";"ATPase inhibitor, mitochondrial";"ATPIF1";2;8;0,00141163705492764;2;2;4;4;0,00141329321970762;0,00141047476242018;"cell surface, mitochondrion";0,000379272744512397;FALSE
"1580";1580;"Q9UJX3";"Q9UJX3-1,Q9UJX3-2";"APC7_HUMAN";"Anaphase-promoting complex subunit 7";"ANAPC7";2;2;3,12256944537415e-05;NA;2;NA;2;NA;6,23999686212601e-05;"cytosol, nucleoplasm, nucleus, anaphase-promoting complex";9,48181861280994e-05;FALSE
"1581";1581;"Q9UJX6";"Q9UJX6-1,Q9UJX6-2";"ANC2_HUMAN";"Anaphase-promoting complex subunit 2";"ANAPC2";2;2;2,27544902406219e-05;NA;2;NA;2;NA;4,54715099806993e-05;"nucleoplasm, cytosol, anaphase-promoting complex";9,48181861280994e-05;FALSE
"1584";1584;"Q9UKT5";"Q9UKT5-1,Q9UKT5-2";"FBX4_HUMAN";"F-box only protein 4";"FBXO4";1;3;7,24968642550045e-05;1;NA;3;NA;0,000145163838458341;NA;"ubiquitin ligase complex, SCF ubiquitin ligase complex, cytoplasm";0,000142227279192149;FALSE
"1592";1592;"Q9UNS1";"Q9UNS1-1,Q9UNS1-2";"TIM_HUMAN";"Protein timeless homolog";"TIMELESS";3;4;3,09672036056145e-05;1;3;1;3;1,55017675174884e-05;4,64125594422204e-05;"nuclear chromatin, nucleus";0,000189636372256199;FALSE
"1598";1598;"Q9Y263";"Q9Y263";"PLAP_HUMAN";"Phospholipase A-2-activating protein";"PLAA";14;25;0,000588182106219848;11;9;14;11;0,000659536835863556;0,000517174079554066;"extracellular vesicular exosome";0,00118522732660124;FALSE
"1610";1610;"Q9Y2Z9";"Q9Y2Z9-1,Q9Y2Z9-3";"COQ6_HUMAN";"Ubiquinone biosynthesis monooxygenase COQ6";"COQ6";5;7;0,000139881770133054;2;5;2;5;8,00262186372904e-05;0,000199666566261404;"mitochondrion, Golgi apparatus, cell projection";0,000331863651448348;FALSE
"1611";1611;"Q9Y305";"Q9Y305-1,Q9Y305-2,Q9Y305-3,Q9Y305-4";"ACOT9_HUMAN";"Acyl-coenzyme A thioesterase 9, mitochondrial";"ACOT9";7;12;0,00012781907274117;6;6;6;6;0,000127969032991749;0,000127713830993627;"mitochondrion";0,000568909116768596;FALSE
"1614";1614;"Q9Y375";"Q9Y375";"CIA30_HUMAN";"Complex I intermediate-associated protein 30, mitochondrial";"NDUFAF1";1;2;0,000114398721576704;1;1;1;1;0,000114532936765296;0,000114304529676253;"mitochondrial respiratory chain complex I, cytoplasm";9,48181861280994e-05;FALSE
"1619";1619;"Q9Y3B7";"Q9Y3B7-1,Q9Y3B7-2";"RM11_HUMAN";"39S ribosomal protein L11, mitochondrial";"MRPL11";4;9;0,00043837947604198;4;4;5;4;0,000487659769820988;0,000389349804209737;"mitochondrial ribosome";0,000426681837576447;FALSE
"1620";1620;"Q9Y3D0";"Q9Y3D0";"MIP18_HUMAN";"Mitotic spindle-associated MMXD complex subunit MIP18";"FAM96B";4;7;0,000803247465303915;4;3;4;3;0,00091907411833747;0,000687930942407389;"nucleus, cytoplasm, spindle, MMXD complex, CIA complex";0,000331863651448348;FALSE
"1635";1635;"Q9Y5A9";"Q9Y5A9-1,Q9Y5A9-2";"YTHD2_HUMAN";"YTH domain-containing family protein 2";"YTHDF2";1;2;3,23043022068932e-05;1;1;1;1;3,2342202350822e-05;3,22777039759368e-05;"cytoplasmic mRNA processing body";9,48181861280994e-05;FALSE
"1636";1636;"Q9Y5K5";"Q9Y5K5-1,Q9Y5K5-2,Q9Y5K5-3,Q9Y5K5-4";"UCHL5_HUMAN";"Ubiquitin carboxyl-terminal hydrolase isozyme L5";"UCHL5";6;12;0,000170554932928187;5;6;5;7;0,000142295859886975;0,000198816921298589;"nucleus, Ino80 complex, proteasome complex, cytosol";0,000568909116768596;FALSE
"1643";1643;"Q9Y616";"Q9Y616-1,Q9Y616-2";"IRAK3_HUMAN";"Interleukin-1 receptor-associated kinase 3";"IRAK3";2;4;6,2765741536212e-05;2;2;2;2;6,2839379735322e-05;6,27140624230449e-05;"cytoplasm, nucleus";0,000189636372256199;FALSE
"1658";1658;"Q9Y6I9";"Q9Y6I9";"TX264_HUMAN";"Testis-expressed sequence 264 protein";"TEX264";2;3;0,00017927339595327;2;1;2;1;0,000239311631452089;0,000119417192345479;"extracellular vesicular exosome";0,000142227279192149;FALSE
"1660";1660;"Q9Y6M1";"Q9Y6M1-1,Q9Y6M1-2,Q9Y6M1-3,Q9Y6M1-4,Q9Y6M1-5,Q9Y6M1-6";"IF2B2_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 2";"IGF2BP2";4;5;2,60214120447846e-05;3;2;3;2;3,12623291504607e-05;2,079998954042e-05;"cytosol, nucleus, cytoskeleton, cytoplasm";0,000237045465320248;FALSE
