"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"Go.Mf"
"214";"P68371";320;320;"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";3;5;0,00352797591674253;1;2;2;3;0,00435302715321685;0,00445539194646479;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane";"structural constituent of cytoskeleton, unfolded protein binding, GTP binding, MHC class I protein binding, double-stranded RNA binding, GTPase activity"
"215";"P68431";321;321;"P68431,P84243,Q16695,Q71DI3";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";2;4;0,000435180852825311;2;NA;4;NA;0,00104219713944485;NA;"nucleosome, nucleoplasm, extracellular vesicular exosome";"protein binding, DNA binding"
"216";"P78371";323;323;"P78371-1,P78371-2";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";4;4;0,000221250826109317;4;NA;4;NA;NA;NA;"zona pellucida receptor complex, cell body, chaperonin-containing T-complex, nucleus, extracellular vesicular exosome, microtubule, cytosol";"ATP binding, unfolded protein binding, protein binding"
"217";"P81605";325;325;"P81605-1,P81605-2";"DCD_HUMAN";"Dermcidin";"DCD";1;1;0,000269020890837465;1;NA;1;NA;NA;NA;"extracellular vesicular exosome";"peptidase activity, poly(A) RNA binding"
"218";"P83731";326;326;"P83731";"RL24_HUMAN";"60S ribosomal protein L24";"RPL24";6;20;0,00753943897888437;6;6;9;11;0,00812515476866559;0,00997708648039156;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"RNA binding, structural constituent of ribosome, poly(A) RNA binding"
"219";"P84077";327;327;"P61204,P84077";"ARF1_HUMAN, ARF3_HUMAN";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";3;4;0,00102767254274138;2;2;2;2;0,00156617470679005;0,00110143827643901;"Golgi membrane, postsynaptic membrane, plasma membrane, extracellular vesicular exosome, neuron projection, perinuclear region of cytoplasm, cytosol, sarcomere, cell junction, postsynaptic density";"poly(A) RNA binding, receptor signaling protein activity, GTPase activity, protein binding, GTP binding"
"220";"P84085";328;328;"P84085";"ARF5_HUMAN";"ADP-ribosylation factor 5";"ARF5";2;3;0,00155007275196825;0;2;0;3;0;0,00332267213392434;"plasma membrane, perinuclear region of cytoplasm, Golgi apparatus";"GTP binding, GTPase activity, protein binding"
"221";"Q00325";330;330;"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";6;14;0,00114445351350745;5;3;8;6;NA;NA;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane";"phosphate ion carrier activity, symporter activity, protein complex binding"
"222";"Q00610";331;331;"Q00610-1,Q00610-2";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";10;15;0,000265005653660786;8;4;10;5;NA;NA;"cytosol, clathrin complex, spindle, mitochondrion, melanosome, trans-Golgi network membrane, extracellular vesicular exosome, clathrin coat of coated pit, clathrin coat of trans-Golgi network vesicle, clathrin-coated endocytic vesicle membrane";"double-stranded RNA binding, structural molecule activity, protein binding, clathrin light chain binding, protein kinase binding, poly(A) RNA binding"
"223";"Q00839";334;334;"Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;3;0,00166303823426797;1;1;2;1;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";"RNA binding, ATP binding, DNA binding, poly(A) RNA binding, protein binding"
"224";"Q00839";333;333;"Q00839-1";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";2;8;0,00443476862471457;2;2;5;3;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";"RNA binding, ATP binding, DNA binding, poly(A) RNA binding, protein binding"
"225";"Q01469";335;335;"Q01469";"FABP5_HUMAN";"Fatty acid-binding protein, epidermal";"FABP5";3;13;0,00569925739107518;3;3;5;8;0,00524958559127777;0,00843853240361737;"cytoplasm, extracellular vesicular exosome";"lipid binding, transporter activity, fatty acid binding, protein binding"
"226";"Q01650";338;338;"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;6;0,000700409419931862;2;3;2;4;0,000559127459426034;0,00112347324900231;"plasma membrane, extracellular vesicular exosome, integral component of membrane, cytosol, apical plasma membrane";"amino acid transmembrane transporter activity, peptide antigen binding, neutral amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity"
"227";"Q01813";339;339;"Q01813";"K6PP_HUMAN";"6-phosphofructokinase type C";"PFKP";1;1;0,0001509811122047;0;1;0;1;NA;0,000363265903854702;"extracellular vesicular exosome, cytosol, 6-phosphofructokinase complex";"6-phosphofructokinase activity, metal ion binding, ATP binding, protein complex binding"
"228";"Q02790";341;341;"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";3;3;0,00038682742473361;NA;3;NA;3;NA;0,000930720485693093;"perinuclear region of cytoplasm, microtubule, axonal growth cone, extracellular vesicular exosome, neuronal cell body, cytosol, mitochondrion, nucleus, membrane";"GTP binding, ATP binding, FK506 binding, protein binding, bridging, peptidyl-prolyl cis-trans isomerase activity, heat shock protein binding, protein binding, poly(A) RNA binding"
"229";"Q04446";343;343;"Q04446";"GLGB_HUMAN";"1,4-alpha-glucan-branching enzyme";"GBE1";4;4;0,000337234165152378;2;2;2;2;0,000403814276252136;0,000405698673250835;"cytosol, extracellular vesicular exosome";"hydrolase activity, hydrolyzing O-glycosyl compounds, cation binding, 1,4-alpha-glucan branching enzyme activity"
"230";"Q04837";344;344;"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";2;4;0,00159958367524979;2;1;3;1;0,00287308400603716;0,000962163745344886;"mitochondrial nucleoid, extracellular vesicular exosome";"single-stranded DNA binding, chromatin binding, protein binding, poly(A) RNA binding"
"231";"Q04917";345;345;"Q04917";"1433F_HUMAN";"14-3-3 protein eta";"YWHAH";2;3;0,000839049912581484;1;1;1;2;0,000664816186512663;0,00135538593038471;"cytoplasmic vesicle membrane, extracellular vesicular exosome, cytosol, intercalated disc, plasma membrane";"glucocorticoid receptor binding, protein heterodimerization activity, insulin-like growth factor receptor binding, sodium channel regulator activity, protein binding, ion channel binding, protein domain specific binding, enzyme binding"
"232";"Q06187";346;346;"Q06187";"BTK_HUMAN";"Tyrosine-protein kinase BTK";"BTK";2;2;0,000179619411181312;2;NA;2;NA;0,00043016331096965;NA;"nucleus, membrane raft, plasma membrane, perinuclear region of cytoplasm, mast cell granule, cytosol, cytoplasmic vesicle";"ATP binding, metal ion binding, non-membrane spanning protein tyrosine kinase activity, phosphatidylinositol-3,4,5-trisphosphate binding, protein tyrosine kinase activity, protein binding, identical protein binding"
"233";"Q06323";347;347;"Q06323";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";5;8;0,00190151312399172;2;4;4;4;0,00227692869019277;0,00228755396483603;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome complex, proteasome activator complex";"endopeptidase activator activity"
"234";"Q06830";348;348;"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";10;36;0,0133085160152967;8;7;17;19;0,0143919311935434;0,0176405796054974;"extracellular space, nuclear euchromatin, melanosome, mitochondrial matrix, mitochondrion, nucleus, cytosol, extracellular vesicular exosome, peroxisomal matrix, nucleolus";"protein binding, thioredoxin peroxidase activity, poly(A) RNA binding, peroxidase activity, heme binding"
"235";"Q13162";355;355;"Q13162";"PRDX4_HUMAN";"Peroxiredoxin-4";"PRDX4";1;2;0,000505753005109082;1;0;2;0;0,00115615266275179;0;"mitochondrion, extracellular space, extracellular vesicular exosome";"thioredoxin peroxidase activity, protein binding"
"236";"Q13200";356;356;"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";2;2;0,000130362546220798;2;NA;2;NA;0,00031220002415088;NA;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome regulatory particle";"protein binding, enzyme regulator activity"
"237";"Q13451";359;359;"Q13451";"FKBP5_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP5";"FKBP5";2;2;0,000259013549165174;NA;2;NA;2;NA;0,000623195773790123;"membrane, nucleus, cytoplasm, extracellular vesicular exosome";"peptidyl-prolyl cis-trans isomerase activity, heat shock protein binding, FK506 binding"
"238";"Q13509";360;360;"Q13509";"TBB3_HUMAN";"Tubulin beta-3 chain";"TUBB3";0;0;0;0;0;0;0;0;0;"microtubule, axon, cytoplasm, plasma membrane";"protein binding, structural constituent of cytoskeleton, GTP binding, GTPase activity"
"239";"Q13765";361;361;"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";2;6;0,0016516631437463;1;2;2;4;0,00131850056711163;0,00264930668485662;"nucleus, nascent polypeptide-associated complex, extracellular vesicular exosome";"TBP-class protein binding, protein binding, transcription coactivator activity, DNA binding"
"240";"Q14204";367;367;"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";4;8;0,000101910625887632;3;3;5;3;0,000152538539565755;9,19502158702388e-05;"Golgi apparatus, cytosol, centrosome, microtubule, cytoplasmic dynein complex, extracellular vesicular exosome";"protein binding, ATP binding, microtubule motor activity, poly(A) RNA binding, ATPase activity"
"241";"Q14444";368;368;"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";3;4;0,00016695231589349;2;2;2;2;NA;NA;"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane";"RNA binding, poly(A) RNA binding"
"242";"Q14697";371;371;"Q14697-1,Q14697-2";"GANAB_HUMAN";"Neutral alpha-glucosidase AB";"GANAB";2;5;0,000156738866483693;2;NA;5;NA;NA;NA;"glucosidase II complex, melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, Golgi apparatus";"carbohydrate binding, glucan 1,3-alpha-glucosidase activity, poly(A) RNA binding"
"243";"Q14974";374;374;"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";4;10;0,00067562324182925;3;3;6;4;0,00097081377372945;0,000650229380415722;"nuclear membrane, nucleoplasm, cytosol, extracellular vesicular exosome, nuclear pore";"zinc ion binding, protein domain specific binding, enzyme binding, nuclear localization sequence binding, protein transporter activity, protein binding, poly(A) RNA binding"
"244";"Q15046";376;376;"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";3;3;0,000148705015035785;3;NA;3;NA;NA;NA;"mitochondrial matrix, cytosol, nucleus, plasma membrane, extracellular region, aminoacyl-tRNA synthetase multienzyme complex, microtubule cytoskeleton";"protein binding, lysine-tRNA ligase activity, amino acid binding, metal ion binding, ATP binding, tRNA binding"
"245";"Q15084";378;378;"Q15084-1,Q15084-2";"PDIA6_HUMAN";"Protein disulfide-isomerase A6";"PDIA6";3;9;0,000605297004384296;3;2;5;4;NA;NA;"melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, plasma membrane, endoplasmic reticulum-Golgi intermediate compartment";"protein disulfide isomerase activity, isomerase activity, protein binding"
"246";"Q15365";380;380;"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";4;14;0,00355968158266097;4;4;8;6;0,00445919854719774;0,00411429248410719;"nucleoplasm, cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex";"poly(A) RNA binding, protein binding, single-stranded DNA binding, RNA binding"
"247";"Q16181";383;383;"Q16181-1,Q16181-2";"SEPT7_HUMAN";"Septin-7";"SEPT7";5;8;0,000541735432350044;4;3;5;3;NA;NA;"stress fiber, septin complex, extracellular vesicular exosome, synapse, axoneme, microtubule cytoskeleton, cleavage furrow, condensed chromosome kinetochore, nucleolus, midbody, spindle, plasma membrane, axon terminus";"GTP binding, identical protein binding, structural molecule activity, protein binding"
"248";"Q16555";384;384;"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";11;24;0,0024832697615766;8;8;12;12;0,00297354148876573;0,00298741750302888;"membrane, cytosol, dendrite, extracellular vesicular exosome, growth cone, mitochondrion, axon, protein complex, neuronal cell body, cytoskeleton";"protein binding, dihydropyrimidinase activity"
"249";"Q16658";385;385;"Q16658";"FSCN1_HUMAN";"Fascin";"FSCN1";8;14;0,00168069846608396;6;4;10;4;0,002875026591572;0,00115537715465349;"invadopodium, cytosol, extracellular vesicular exosome, cell junction, filopodium, stress fiber";"protein binding, poly(A) RNA binding, drug binding, actin filament binding, actin binding"
"250";"Q29RF7";389;389;"Q29RF7-1";"PDS5A_HUMAN";"Sister chromatid cohesion protein PDS5 homolog A";"PDS5A";6;12;0,000531200562311823;4;4;7;5;NA;NA;"cytosol, nucleoplasm, chromatin, plasma membrane, chromosome, centromeric region";"protein binding"
"251";"Q562R1";391;391;"Q562R1";"ACTBL_HUMAN";"Beta-actin-like protein 2";"ACTBL2";1;2;0,000557518698264553;1;1;1;1;0,000575863520191014;0,000742596132201936;"cytoplasm, extracellular space, cytoskeleton, extracellular vesicular exosome";"ATP binding"
"252";"Q5XKE5";392;392;"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0;"extracellular vesicular exosome, keratin filament";"enzyme binding, structural molecule activity"
"253";"Q71U36";396;396;"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";0;0;NA;0;0;0;0;NA;NA;"cytosol, microtubule, cytoplasmic microtubule, extracellular vesicular exosome";"protein binding, structural constituent of cytoskeleton, structural molecule activity, GTP binding, GTPase activity"
"254";"Q7KZF4";397;397;"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";6;14;0,00091053224591142;5;3;9;5;0,00140181241613241;0,000782418869840897;"mitochondrion, nucleus, melanosome, extracellular vesicular exosome, RISC complex, cytoplasm";"protein binding, nuclease activity, transcription cofactor activity, poly(A) RNA binding"
"255";"Q7Z2W4";398;398;"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";2;10;0,000218716171412573;2;2;4;6;NA;NA;"nucleus, plasma membrane, Golgi apparatus, cytoplasm";"protein binding, poly(A) RNA binding, NAD+ ADP-ribosyltransferase activity, metal ion binding"
"256";"Q7Z6Z7";400;400;"Q7Z6Z7-1,Q7Z6Z7-2,Q7Z6Z7-3";"HUWE1_HUMAN";"E3 ubiquitin-protein ligase HUWE1";"HUWE1";11;12;5,41240018145792e-05;4;7;4;8;NA;NA;"nucleus, cytoplasm, extracellular vesicular exosome";"DNA binding, ligase activity, ubiquitin-protein transferase activity, poly(A) RNA binding, protein binding"
"257";"Q86UE4";401;401;"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";6;15;0,00152537618516088;5;5;8;7;0,00194829980707216;0,00171271759480636;"nucleolus, intercellular canaliculus, tight junction, perinuclear region of cytoplasm, endoplasmic reticulum membrane, integral component of membrane, apical plasma membrane, nuclear body, nuclear membrane";"protein binding, poly(A) RNA binding, double-stranded RNA binding, NF-kappaB binding, transcription coactivator activity, RNA polymerase II transcription factor binding"
"258";"Q86UP2";402;402;"Q86UP2-1,Q86UP2-2,Q86UP2-3";"KTN1_HUMAN";"Kinectin";"KTN1";4;4;5,81523910432251e-05;4;NA;4;NA;NA;NA;"integral component of plasma membrane, endoplasmic reticulum membrane";"poly(A) RNA binding"
"259";"Q86YV0";403;403;"Q86YV0-1,Q86YV0-2";"RASL3_HUMAN";"RAS protein activator like-3";"RASAL3";4;6;0,000175621946540778;4;NA;6;NA;NA;NA;"intrinsic component of the cytoplasmic side of the plasma membrane, cytoplasm, extracellular vesicular exosome";"Ras GTPase activator activity"
"260";"Q86YZ3";404;404;"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";10;25;0,000519163122668792;9;6;16;9;0,000795726658046314;0,000449684950455926;"cornified envelope, extracellular vesicular exosome";"calcium ion binding"
"261";"Q8NC51";407;407;"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";12;27;0,00097915691885695;9;7;13;14;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane";"poly(A) RNA binding, mRNA 3'-UTR binding, protein binding"
"262";"Q92598";412;412;"Q92598-1,Q92598-2,Q92598-3";"HS105_HUMAN";"Heat shock protein 105 kDa";"HSPH1";5;7;0,000178836299702018;4;2;5;2;NA;NA;"endocytic vesicle lumen, extracellular vesicular exosome, nucleus, microtubule";"ATP binding, protein binding"
"263";"Q92930";415;415;"Q92930";"RAB8B_HUMAN";"Ras-related protein Rab-8B";"RAB8B";1;2;0,000800564583361732;1;0;2;0;0,00182594281435748;NA;"peroxisomal membrane, mitochondrion, phagocytic vesicle, perinuclear region of cytoplasm, phagocytic vesicle membrane, cell tip, extracellular vesicular exosome, plasma membrane";"GTPase activity, GDP binding, receptor binding, GTP binding"
"264";"Q95604";418;418;"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;1;0,000291680356553165;1;0;1;0;0,000762036618088708;NA;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";"peptide antigen binding"
"265";"Q99497";424;424;"Q99497";"PARK7_HUMAN";"Protein DJ-1";"PARK7";4;7;0,00219202207349046;4;NA;7;NA;0,00524958559127777;NA;"cytosol, membrane raft, plasma membrane, nucleus, extracellular vesicular exosome, mitochondrion";"cytokine binding, androgen receptor binding, small protein activating enzyme binding, peptidase activity, ubiquitin-specific protease binding, mRNA binding, peroxidase activity, transcription factor binding, peroxiredoxin activity, identical protein binding, small protein conjugating enzyme binding, protein binding, protein homodimerization activity, receptor binding, scaffold protein binding"
"266";"Q99714";427;427;"Q99714-1,Q99714-2";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";2;2;0,000226760904154185;2;NA;2;NA;NA;NA;"endoplasmic reticulum, mitochondrial inner membrane, mitochondrial matrix, plasma membrane";"cholate 7-alpha-dehydrogenase activity, testosterone dehydrogenase [NAD(P)] activity, protein binding, 3-hydroxyacyl-CoA dehydrogenase activity, poly(A) RNA binding, 3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity"
"267";"Q99832";430;430;"Q99832-1,Q99832-3,Q99832-4";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";5;9;0,000326986718144985;3;3;4;5;NA;NA;"extracellular vesicular exosome, mitochondrion, chaperonin-containing T-complex, zona pellucida receptor complex, cell body, cytosol, microtubule";"unfolded protein binding, ATP binding"
"268";"Q9BVG8";434;434;"Q9BVG8-3";"KIFC3_HUMAN";"Kinesin-like protein KIFC3";"KIFC3";2;2;0,000142099870310306;NA;2;NA;2;NA;NA;"extracellular vesicular exosome, Golgi apparatus, zonula adherens, kinesin complex, cytoplasmic vesicle membrane, microtubule, centrosome";"ATP binding, microtubule motor activity"
"269";"Q9H0U4";437;437;"Q9H0U4";"RAB1B_HUMAN";"Ras-related protein Rab-1B";"RAB1B";2;2;0,000824462033611335;2;0;2;0;0,00188044857000995;NA;"extracellular vesicular exosome, mitochondrion, Golgi apparatus, membrane";"GTP binding, protein binding"
"270";"Q9H299";438;438;"Q9H299";"SH3L3_HUMAN";"SH3 domain-binding glutamic acid-rich-like protein 3";"SH3BGRL3";1;1;0,000636393505206907;NA;1;NA;1;NA;0,00153118531517251;"nucleus, cytoplasm, extracellular vesicular exosome";"semaphorin receptor binding, protein disulfide oxidoreductase activity, electron carrier activity, Rho GTPase activator activity"
"271";"Q9NX63";443;443;"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";2;3;0,000782175277324788;2;NA;3;NA;0,00187320014490528;NA;"mitochondrial inner membrane, extracellular vesicular exosome, nucleus";"phosphatase binding, protein complex scaffold, protein binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription"
"272";"Q9NZB2";446;446;"Q9NZB2-1,Q9NZB2-4,Q9NZB2-6";"F120A_HUMAN";"Constitutive coactivator of PPAR-gamma-like protein 1";"FAM120A";2;2;3,52919475159465e-05;2;NA;2;NA;NA;NA;"plasma membrane, cytoplasm";"poly(A) RNA binding"
"273";"Q9UQ80";450;450;"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";7;15;0,00225322065929857;5;5;6;9;0,00215845905022081;0,0032527972304553;"ribonucleoprotein complex, nucleolus, cytoplasm, extracellular vesicular exosome";"DNA binding, poly(A) RNA binding, sequence-specific DNA binding transcription factor activity, ubiquitin protein ligase binding, protein binding"
"274";"Q9Y277";453;453;"Q9Y277-1,Q9Y277-2";"VDAC3_HUMAN";"Voltage-dependent anion-selective channel protein 3";"VDAC3";2;4;0,000790057425781012;0;2;0;4;NA;NA;"pore complex, mitochondrial outer membrane, extracellular vesicular exosome";"nucleotide binding, voltage-gated anion channel activity, porin activity"
"275";"Q9Y490";457;457;"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";19;33;0,000768631116678472;12;14;15;18;0,000836710808527153;0,00100873837764611;"cytosol, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, centrosome, focal adhesion, cell-cell junction, extracellular vesicular exosome, plasma membrane, cell surface, ruffle membrane";"integrin binding, vinculin binding, LIM domain binding, structural constituent of cytoskeleton, protein binding"
