"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"7394";7394;"Q9BYI3";"Q9BYI3-1";"HYCCI_HUMAN";"84668";"FAM126A";"Hyccin";"FAM126A,DRCTNNB1A";NA;0;2;1;9;7;11;"8";"1.41";"0.18";10;7;17;"8.5";"2.12";"0.25";"0.28";"0.2";"0.32";"0.24";"0.05";"0.21";11;17;"0.32";"cytoplasm, plasma membrane"
"7402";7402;"Q9BYT8";"Q9BYT8";"NEUL_HUMAN";"57486";"NLN";"Neurolysin, mitochondrial";"NLN,AGTBP,KIAA1226";NA;0;1;1;32;27;32;"29.5";"3.54";"0.12";55;53;108;"54";"1.41";"0.03";"0.47";"0.41";"0.47";"0.44";"0.05";"0.1";32;108;"0.47";"mitochondrial intermembrane space, plasma membrane"
"7406";7406;"Q9BYX7";"Q9BYX7";"ACTBM_HUMAN";NA;"POTEKP";"Putative beta-actin-like protein 3";"POTEKP,ACTBL3";NA;0;1;1;4;3;4;"3.5";"0.71";"0.2";565;625;1190;"595";"42.43";"0.07";"0.15";"0.11";"0.15";"0.13";"0.03";"0.26";4;1190;"0.15";"cytosol, extracellular region, cytoskeleton"
"7419";7419;"Q9BZE9";"Q9BZE9-1";"ASPC1_HUMAN";"79058";"ASPSCR1";"Tether containing UBX domain for GLUT4";"ASPSCR1,ASPL,UBXD9,RCC17,UBXN9,TUG";NA;0;4;2;11;11;14;"11";"0";"0";11;12;23;"11.5";"0.71";"0.06";"0.29";"0.3";"0.36";"0.29";"0.01";"0.02";14;23;"0.36";"endomembrane system, cytosol, vesicle membrane, extrinsic component of membrane, cytoplasmic side of plasma membrane, perinuclear region of cytoplasm, nucleus"
"7421";7421;"Q9BZF2";"Q9BZF2";"OSBL7_HUMAN";"114881";"OSBPL7";"Oxysterol-binding protein-related protein 7";"OSBPL7,ORP7";NA;0;1;1;10;10;12;"10";"0";"0";11;11;22;"11";"0";"0";"0.14";"0.13";"0.16";"0.14";"0.01";"0.05";12;22;"0.16";"perinuclear endoplasmic reticulum, autophagic vacuole, plasma membrane, cytosol"
"7422";7422;"Q9BZF3";"Q9BZF3-1";"OSBL6_HUMAN";"114880";"OSBPL6";"Oxysterol-binding protein-related protein 6";"OSBPL6,ORP6";NA;0;5;4;21;19;25;"20";"1.41";"0.07";26;20;46;"23";"4.24";"0.18";"0.28";"0.28";"0.35";"0.28";"0";"0.01";25;46;"0.35";"cytosol, plasma membrane, nuclear membrane, perinuclear endoplasmic reticulum"
"7423";7423;"Q9BZF9";"Q9BZF9";"UACA_HUMAN";"55075";"UACA";"Uveal autoantigen with coiled-coil domains and ankyrin repeats";"UACA,KIAA1561";NA;0;1;1;4;8;10;"6";"2.83";"0.47";6;10;16;"8";"2.83";"0.35";"0.02";"0.04";"0.05";"0.03";"0.01";"0.28";10;16;"0.05";"mitochondrion, membrane, nuclear envelope, apoptosome, perinuclear region of cytoplasm, cytoskeleton, nucleus, extracellular vesicular exosome"
"7433";7433;"Q9BZL6";"Q9BZL6";"KPCD2_HUMAN";"25865";"PRKD2";"Serine/threonine-protein kinase D2";"PRKD2,PKD2";NA;0;1;1;22;23;24;"22.5";"0.71";"0.03";30;31;61;"30.5";"0.71";"0.02";"0.4";"0.39";"0.41";"0.39";"0";"0";24;61;"0.41";"cytoplasm, Golgi apparatus, plasma membrane, nucleus"
"7434";7434;"Q9BZM4";"Q9BZM4";"N2DL3_HUMAN";"79465";"ULBP3";"NKG2D ligand 3";"ULBP3,RAET1N,N2DL3";NA;0;1;1;3;3;3;"3";"0";"0";3;4;7;"3.5";"0.71";"0.2";"0.11";"0.11";"0.11";"0.11";"0";"0";3;7;"0.11";"anchored component of plasma membrane"
"7435";7435;"Q9BZM6";"Q9BZM6";"N2DL1_HUMAN";"80329";"ULBP1";"NKG2D ligand 1";"ULBP1,N2DL1,RAET1I";NA;0;1;1;5;5;6;"5";"0";"0";6;6;12;"6";"0";"0";"0.21";"0.2";"0.24";"0.2";"0.01";"0.04";6;12;"0.24";"endoplasmic reticulum, anchored component of plasma membrane"
"7437";7437;"Q9BZQ8";"Q9BZQ8";"NIBAN_HUMAN";"116496";"FAM129A";"Protein Niban";"FAM129A,C1orf24,NIBAN";NA;0;1;1;14;13;16;"13.5";"0.71";"0.05";21;21;42;"21";"0";"0";"0.17";"0.15";"0.2";"0.16";"0.01";"0.08";16;42;"0.2";"plasma membrane, nucleus, cytoplasm, extracellular vesicular exosome"
"7438";7438;"Q9BZV1";"Q9BZV1-2";"UBXN6_HUMAN";"80700";"UBXN6";"UBX domain-containing protein 6";"UBXN6,UBXDC2,UBXD1";NA;0;1;1;5;7;7;"6";"1.41";"0.24";5;7;12;"6";"1.41";"0.24";"0.17";"0.21";"0.21";"0.19";"0.03";"0.14";7;12;"0.21";"microtubule organizing center, extracellular vesicular exosome, cytoplasm, nucleolus"
"7439";7439;"Q9BZV1";"Q9BZV1-1";"UBXN6_HUMAN";"80700";"UBXN6";"UBX domain-containing protein 6";"UBXN6,UBXDC2,UBXD1";NA;0;1;1;7;8;8;"7.5";"0.71";"0.09";7;8;15;"7.5";"0.71";"0.09";"0.2";"0.22";"0.22";"0.21";"0.01";"0.05";8;15;"0.22";"microtubule organizing center, extracellular vesicular exosome, cytoplasm, nucleolus"
"7442";7442;"Q9BZW8";"Q9BZW8-1";"CD244_HUMAN";"51744";"CD244";"Natural killer cell receptor 2B4";"CD244,2B4";NA;0;4;2;7;7;7;"7";"0";"0";7;7;14;"7";"0";"0";"0.17";"0.17";"0.17";"0.17";"0";"0";7;14;"0.17";"integral component of membrane, external side of plasma membrane"
"7444";7444;"Q9BZZ2";"Q9BZZ2-1";"SN_HUMAN";"6614";"SIGLEC1";"Sialoadhesin";"SIGLEC1,SN";NA;0;3;3;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.01";"0";"0.01";"0.01";"0.01";"1.41";3;3;"0.01";"integral component of membrane, plasma membrane, extracellular region"
"7453";7453;"Q9C037";"Q9C037-1";"TRIM4_HUMAN";"89122";"TRIM4";"Tripartite motif-containing protein 4";"TRIM4,RNF87";NA;0;3;2;16;17;19;"16.5";"0.71";"0.04";56;53;109;"54.5";"2.12";"0.04";"0.32";"0.36";"0.39";"0.34";"0.03";"0.09";19;109;"0.39";"cytoplasm, plasma membrane"
"7454";7454;"Q9C086";"Q9C086";"IN80B_HUMAN";"83444";"INO80B";"INO80 complex subunit B";"INO80B,PAPA1,HMGA1L4,ZNHIT4";NA;0;1;1;2;4;4;"3";"1.41";"0.47";2;4;6;"3";"1.41";"0.47";"0.06";"0.1";"0.1";"0.08";"0.03";"0.39";4;6;"0.1";"cytoplasm, nucleolus, Ino80 complex, plasma membrane"
"7462";7462;"Q9C0B5";"Q9C0B5-1";"ZDHC5_HUMAN";"25921";"ZDHHC5";"Palmitoyltransferase ZDHHC5";"ZDHHC5,ZNF375,KIAA1748";NA;0;2;2;7;8;9;"7.5";"0.71";"0.09";8;10;18;"9";"1.41";"0.16";"0.15";"0.16";"0.2";"0.16";"0.01";"0.04";9;18;"0.2";"dendrite, integral component of membrane, plasma membrane"
"7466";7466;"Q9C0C4";"Q9C0C4";"SEM4C_HUMAN";"54910";"SEMA4C";"Semaphorin-4C";"SEMA4C,KIAA1739,SEMAI";NA;0;1;1;5;12;12;"8.5";"4.95";"0.58";6;12;18;"9";"4.24";"0.47";"0.06";"0.17";"0.17";"0.12";"0.08";"0.67";12;18;"0.17";"postsynaptic density, postsynaptic membrane, synaptic vesicle membrane, integral component of membrane, extracellular space, cell junction"
"7476";7476;"Q9C0H2";"Q9C0H2-1";"TTYH3_HUMAN";"80727";"TTYH3";"Protein tweety homolog 3";"TTYH3,KIAA1691";NA;0;4;2;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.07";"0.05";"0.07";"0.06";"0.02";"0.31";3;5;"0.07";"chloride channel complex, extracellular vesicular exosome, plasma membrane"
"7482";7482;"Q9C0K1";"Q9C0K1-1";"S39A8_HUMAN";"64116";"SLC39A8";"Zinc transporter ZIP8";"SLC39A8,ZIP8,BIGM103";NA;0;3;3;1;1;1;"1";"0";"0";2;1;3;"1.5";"0.71";"0.47";"0.05";"0.05";"0.05";"0.05";"0";"0";1;3;"0.05";"organelle membrane, integral component of membrane, plasma membrane"
"7485";7485;"Q9GIY3";"Q9GIY3";"2B1E_HUMAN";NA;"HLA-DRB1";"HLA class II histocompatibility antigen, DRB1-14 beta chain";"HLA-DRB1";NA;0;1;1;4;4;4;"4";"0";"0";5;6;11;"5.5";"0.71";"0.13";"0.19";"0.19";"0.19";"0.19";"0";"0";4;11;"0.19";"clathrin-coated endocytic vesicle membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, trans-Golgi network membrane, ER to Golgi transport vesicle membrane, Golgi membrane, late endosome membrane, lysosomal membrane"
"7487";7487;"Q9GZM5";"Q9GZM5";"YIPF3_HUMAN";"25844";"YIPF3";"Protein YIPF3";"YIPF3,C6orf109,KLIP1";NA;0;1;1;5;5;6;"5";"0";"0";12;6;18;"9";"4.24";"0.47";"0.11";"0.13";"0.13";"0.12";"0.02";"0.14";6;18;"0.13";"transport vesicle, plasma membrane, Golgi apparatus, integral component of membrane"
"7491";7491;"Q9GZP1";"Q9GZP1";"NRSN2_HUMAN";"80023";"NRSN2";"Neurensin-2";"NRSN2,C20orf98";NA;0;1;1;2;1;2;"1.5";"0.71";"0.47";2;1;3;"1.5";"0.71";"0.47";"0.17";"0.04";"0.17";"0.11";"0.09";"0.84";2;3;"0.17";"transport vesicle, neuronal cell body, integral component of membrane, plasma membrane"
"7500";7500;"Q9GZT4";"Q9GZT4";"SRR_HUMAN";"63826";"SRR";"Serine racemase";"SRR";NA;0;1;1;7;7;8;"7";"0";"0";10;9;19;"9.5";"0.71";"0.07";"0.29";"0.25";"0.31";"0.27";"0.03";"0.11";8;19;"0.31";"neuronal cell body, apical part of cell, cytoplasm, plasma membrane"
"7505";7505;"Q9GZU1";"Q9GZU1-1";"MCLN1_HUMAN";"57192";"MCOLN1";"Mucolipin-1";"MCOLN1,ML4";NA;0;2;1;4;5;6;"4.5";"0.71";"0.16";4;6;10;"5";"1.41";"0.28";"0.1";"0.13";"0.14";"0.11";"0.02";"0.17";6;10;"0.14";"late endosome membrane, receptor complex, integral component of plasma membrane, endosome membrane, lysosomal membrane"
"7512";7512;"Q9GZX9";"Q9GZX9-1";"TWSG1_HUMAN";"57045";"TWSG1";"Twisted gastrulation protein homolog 1";"TWSG1,TSG";NA;0;1;1;3;3;3;"3";"0";"0";6;5;11;"5.5";"0.71";"0.13";"0.2";"0.2";"0.2";"0.2";"0";"0";3;11;"0.2";"extracellular space"
"7514";7514;"Q9GZY6";"Q9GZY6-1";"NTAL_HUMAN";"7462";"LAT2";"Linker for activation of T-cells family member 2";"LAT2,WBSCR15,LAB,WBS15,NTAL,WBSCR5";NA;0;2;1;7;5;7;"6";"1.41";"0.24";9;9;18;"9";"0";"0";"0.54";"0.42";"0.54";"0.48";"0.08";"0.17";7;18;"0.54";"plasma membrane, integral component of membrane, mast cell granule, extracellular vesicular exosome, membrane raft"
"7516";7516;"Q9GZZ1";"Q9GZZ1-1";"NAA50_HUMAN";"80218";"NAA50";"N-alpha-acetyltransferase 50";"NAA50,NAT13,MAK3,NAT5";NA;0;2;1;13;13;13;"13";"0";"0";35;31;66;"33";"2.83";"0.09";"0.64";"0.64";"0.64";"0.64";"0";"0";13;66;"0.64";"extracellular vesicular exosome, cytoplasm"
"7520";7520;"Q9H063";"Q9H063";"MAF1_HUMAN";"84232";"MAF1";"Repressor of RNA polymerase III transcription MAF1 homolog";"MAF1";NA;0;1;1;2;2;2;"2";"0";"0";2;2;4;"2";"0";"0";"0.13";"0.13";"0.13";"0.13";"0";"0";2;4;"0.13";"nucleus, cytoplasm, plasma membrane, cytosol, axon, dendrite, inhibitory synapse"
"7534";7534;"Q9H0E2";"Q9H0E2";"TOLIP_HUMAN";"54472";"TOLLIP";"Toll-interacting protein";"TOLLIP";NA;0;1;1;7;8;8;"7.5";"0.71";"0.09";8;9;17;"8.5";"0.71";"0.08";"0.29";"0.35";"0.35";"0.32";"0.04";"0.13";8;17;"0.35";"interleukin-18 receptor complex, extracellular vesicular exosome, cytosol, nuclear body, perinuclear region of cytoplasm, interleukin-1 receptor complex"
"7539";7539;"Q9H0F7";"Q9H0F7-1";"ARL6_HUMAN";"84100";"ARL6";"ADP-ribosylation factor-like protein 6";"ARL6";NA;0;2;2;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.19";"0.12";"0.19";"0.15";"0.05";"0.32";3;5;"0.19";"axonemal microtubule, membrane coat, extracellular vesicular exosome, ciliary membrane"
"7543";7543;"Q9H0H5";"Q9H0H5";"RGAP1_HUMAN";"29127";"RACGAP1";"Rac GTPase-activating protein 1";"RACGAP1,MGCRACGAP,KIAA1478";NA;0;1;1;19;20;21;"19.5";"0.71";"0.04";29;28;57;"28.5";"0.71";"0.02";"0.37";"0.35";"0.4";"0.36";"0.01";"0.02";21;57;"0.4";"centralspindlin complex, spindle midzone, cleavage furrow, midbody, cytosol, acrosomal vesicle, microtubule, nucleus, extrinsic component of cytoplasmic side of plasma membrane, extracellular vesicular exosome"
"7548";7548;"Q9H0M0";"Q9H0M0-1";"WWP1_HUMAN";"11059";"WWP1";"NEDD4-like E3 ubiquitin-protein ligase WWP1";"WWP1";NA;0;3;1;12;14;17;"13";"1.41";"0.11";17;19;36;"18";"1.41";"0.08";"0.13";"0.15";"0.18";"0.14";"0.02";"0.11";17;36;"0.18";"plasma membrane, cytosol, nucleus, ubiquitin ligase complex"
"7556";7556;"Q9H0R4";"Q9H0R4-1";"HDHD2_HUMAN";"84064";"HDHD2";"Haloacid dehalogenase-like hydrolase domain-containing protein 2";"HDHD2";NA;0;2;1;7;9;9;"8";"1.41";"0.18";13;15;28;"14";"1.41";"0.1";"0.4";"0.45";"0.45";"0.43";"0.04";"0.08";9;28;"0.45";"extracellular vesicular exosome"
"7559";7559;"Q9H0U3";"Q9H0U3";"MAGT1_HUMAN";"84061";"MAGT1";"Magnesium transporter protein 1";"MAGT1,IAG2";NA;0;1;1;11;11;13;"11";"0";"0";18;20;38;"19";"1.41";"0.07";"0.27";"0.25";"0.29";"0.26";"0.01";"0.04";13;38;"0.29";"integral component of plasma membrane, oligosaccharyltransferase complex"
"7560";7560;"Q9H0U4";"Q9H0U4";"RAB1B_HUMAN";"81876";"RAB1B";"Ras-related protein Rab-1B";"RAB1B";NA;0;1;1;14;14;15;"14";"0";"0";117;102;219;"109.5";"10.61";"0.1";"0.79";"0.72";"0.79";"0.75";"0.05";"0.06";15;219;"0.79";"extracellular vesicular exosome, mitochondrion, Golgi apparatus, membrane"
"7561";7561;"Q9H0U6";"Q9H0U6";"RM18_HUMAN";"29074";"MRPL18";"39S ribosomal protein L18, mitochondrial";"MRPL18";NA;0;1;1;5;5;5;"5";"0";"0";6;6;12;"6";"0";"0";"0.29";"0.29";"0.29";"0.29";"0";"0";5;12;"0.29";"mitochondrial ribosome, extracellular space"
"7566";7566;"Q9H0W9";"Q9H0W9-1";"CK054_HUMAN";"28970";"C11orf54";"Ester hydrolase C11orf54";"C11orf54";NA;0;4;2;10;10;10;"10";"0";"0";27;24;51;"25.5";"2.12";"0.08";"0.42";"0.42";"0.42";"0.42";"0";"0";10;51;"0.42";"extracellular vesicular exosome, nucleus"
"7567";7567;"Q9H0X4";"Q9H0X4-1";"ITFG3_HUMAN";"83986";"ITFG3";"Protein ITFG3";"ITFG3,C16orf9";NA;0;2;1;7;7;9;"7";"0";"0";11;10;21;"10.5";"0.71";"0.07";"0.13";"0.14";"0.17";"0.13";"0.01";"0.06";9;21;"0.17";"cell surface, integral component of membrane, extracellular vesicular exosome"
"7580";7580;"Q9H1B7";"Q9H1B7";"I2BPL_HUMAN";"64207";"IRF2BPL";"Interferon regulatory factor 2-binding protein-like";"IRF2BPL,KIAA1865,C14orf4,EAP1";NA;0;1;1;9;7;9;"8";"1.41";"0.18";12;10;22;"11";"1.41";"0.13";"0.17";"0.12";"0.17";"0.14";"0.03";"0.24";9;22;"0.17";"nucleus, extracellular space"
"7582";7582;"Q9H1C7";"Q9H1C7";"CYTM1_HUMAN";"84418";"CYSTM1";"Cysteine-rich and transmembrane domain-containing protein 1";"CYSTM1,C5orf32";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.1";"0.1";"0.1";"0.1";"0";"0";1;2;"0.1";"integral component of membrane, extracellular vesicular exosome"
"7587";7587;"Q9H1K0";"Q9H1K0";"RBNS5_HUMAN";"64145";"ZFYVE20";"Rabenosyn-5";"ZFYVE20";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.01";"0.01";"0.01";"0.01";"0";"0";1;2;"0.01";"early endosome membrane, plasma membrane, endosome membrane"
"7596";7596;"Q9H201";"Q9H201-1";"EPN3_HUMAN";"55040";"EPN3";"Epsin-3";"EPN3";NA;0;2;2;2;3;3;"2.5";"0.71";"0.28";3;4;7;"3.5";"0.71";"0.2";"0.03";"0.05";"0.05";"0.04";"0.01";"0.19";3;7;"0.05";"coated pit, extracellular vesicular exosome, clathrin-coated vesicle, extrinsic component of plasma membrane, perinuclear region of cytoplasm, nucleus"
"7598";7598;"Q9H223";"Q9H223";"EHD4_HUMAN";"30844";"EHD4";"EH domain-containing protein 4";"EHD4,HCA11,PAST4,HCA10";NA;0;1;1;26;25;28;"25.5";"0.71";"0.03";39;37;76;"38";"1.41";"0.04";"0.51";"0.48";"0.52";"0.49";"0.02";"0.04";28;76;"0.52";"recycling endosome membrane, perinuclear region of cytoplasm, early endosome membrane, endoplasmic reticulum, nucleus, extracellular vesicular exosome, plasma membrane"
"7599";7599;"Q9H251";"Q9H251-1";"CAD23_HUMAN";"64072";"CDH23";"Cadherin-23";"CDH23,KIAA1774,KIAA1812";NA;0;4;4;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.01";"0";"0.01";"0.01";"0.01";"1.41";3;3;"0.01";"plasma membrane, membrane, stereocilium, integral component of membrane"
"7600";7600;"Q9H254";"Q9H254-1";"SPTN4_HUMAN";"57731";"SPTBN4";"Spectrin beta chain, non-erythrocytic 4";"SPTBN4,KIAA1642,SPTBN3";NA;0;4;1;6;7;9;"6.5";"0.71";"0.11";11;11;22;"11";"0";"0";"0.02";"0.03";"0.03";"0.02";"0.01";"0.38";9;22;"0.03";"node of Ranvier, axon hillock, paranode region of axon, PML body, nuclear matrix, cytosol, axon initial segment, adherens junction, plasma membrane, spectrin, cell body fiber"
"7604";7604;"Q9H299";"Q9H299";"SH3L3_HUMAN";"83442";"SH3BGRL3";"SH3 domain-binding glutamic acid-rich-like protein 3";"SH3BGRL3";NA;0;1;1;4;4;4;"4";"0";"0";14;17;31;"15.5";"2.12";"0.14";"0.38";"0.38";"0.38";"0.38";"0";"0";4;31;"0.38";"nucleus, cytoplasm, extracellular vesicular exosome"
"7610";7610;"Q9H2G2";"Q9H2G2-1";"SLK_HUMAN";"9748";"SLK";"STE20-like serine/threonine-protein kinase";"SLK,KIAA0204,STK2";NA;0;2;2;42;36;44;"39";"4.24";"0.11";77;64;141;"70.5";"9.19";"0.13";"0.38";"0.31";"0.39";"0.34";"0.05";"0.13";44;141;"0.39";"extracellular vesicular exosome, plasma membrane, cytoplasm"
"7611";7611;"Q9H2G4";"Q9H2G4";"TSYL2_HUMAN";"64061";"TSPYL2";"Testis-specific Y-encoded-like protein 2";"TSPYL2,DENTT,TSPX,CDA1";NA;0;1;1;5;4;5;"4.5";"0.71";"0.16";11;10;21;"10.5";"0.71";"0.07";"0.06";"0.05";"0.06";"0.06";"0.01";"0.11";5;21;"0.06";"centrosome, plasma membrane, nucleolus, nucleoplasm, cytoplasm"
"7614";7614;"Q9H2H9";"Q9H2H9";"S38A1_HUMAN";"81539";"SLC38A1";"Sodium-coupled neutral amino acid transporter 1";"SLC38A1,NAT2,SAT1,ATA1,SNAT1";NA;0;1;1;5;5;6;"5";"0";"0";5;5;10;"5";"0";"0";"0.09";"0.09";"0.11";"0.09";"0";"0.02";6;10;"0.11";"integral component of membrane, axon, plasma membrane, extracellular vesicular exosome"
"7616";7616;"Q9H2J7";"Q9H2J7-1";"S6A15_HUMAN";"55117";"SLC6A15";"Sodium-dependent neutral amino acid transporter B(0)AT2";"SLC6A15,B0AT2,SBAT1,NTT73";NA;0;1;1;0;3;3;"1.5";"2.12";"1.41";0;3;3;"1.5";"2.12";"1.41";"0";"0.03";"0.03";"0.01";"0.02";"1.41";3;3;"0.03";"integral component of membrane, plasma membrane, integral component of plasma membrane"
"7619";7619;"Q9H2K8";"Q9H2K8";"TAOK3_HUMAN";"51347";"TAOK3";"Serine/threonine-protein kinase TAO3";"TAOK3,MAP3K18,KDS,DPK,JIK";NA;0;1;1;35;37;40;"36";"1.41";"0.04";60;59;119;"59.5";"0.71";"0.01";"0.4";"0.38";"0.43";"0.39";"0.01";"0.03";40;119;"0.43";"plasma membrane, mitochondrion"
"7620";7620;"Q9H2M9";"Q9H2M9-1";"RBGPR_HUMAN";"25782";"RAB3GAP2";"Rab3 GTPase-activating protein non-catalytic subunit";"RAB3GAP2,KIAA0839";NA;0;2;1;37;41;44;"39";"2.83";"0.07";66;74;140;"70";"5.66";"0.08";"0.29";"0.33";"0.37";"0.31";"0.03";"0.08";44;140;"0.37";"plasma membrane, cytoplasm"
"7621";7621;"Q9H2P0";"Q9H2P0";"ADNP_HUMAN";"23394";"ADNP";"Activity-dependent neuroprotector homeobox protein";"ADNP,KIAA0784,ADNP1";NA;0;1;1;37;40;42;"38.5";"2.12";"0.06";69;71;140;"70";"1.41";"0.02";"0.43";"0.46";"0.48";"0.45";"0.02";"0.04";42;140;"0.48";"extracellular space, nucleus"
"7630";7630;"Q9H307";"Q9H307-1";"PININ_HUMAN";"5411";"PNN";"Pinin";"PNN,DRS,MEMA";NA;0;2;1;25;27;29;"26";"1.41";"0.05";51;57;108;"54";"4.24";"0.08";"0.34";"0.34";"0.36";"0.34";"0";"0.01";29;108;"0.36";"intermediate filament, cell-cell junction, catalytic step 2 spliceosome, cytoplasm, desmosome, nuclear speck, plasma membrane"
"7634";7634;"Q9H336";"Q9H336";"CRLD1_HUMAN";"83690";"CRISPLD1";"Cysteine-rich secretory protein LCCL domain-containing 1";"CRISPLD1,CRISP10,LCRISP1";NA;0;1;1;5;3;6;"4";"1.41";"0.35";6;3;9;"4.5";"2.12";"0.47";"0.13";"0.06";"0.15";"0.1";"0.05";"0.52";6;9;"0.15";"extracellular vesicular exosome"
"7641";7641;"Q9H3K2";"Q9H3K2";"GHITM_HUMAN";"27069";"GHITM";"Growth hormone-inducible transmembrane protein";"GHITM,MICS1,TMBIM5,DERP2";NA;0;1;1;5;5;6;"5";"0";"0";11;12;23;"11.5";"0.71";"0.06";"0.14";"0.12";"0.14";"0.13";"0.02";"0.12";6;23;"0.14";"extracellular vesicular exosome, integral component of membrane, mitochondrial inner membrane"
"7643";7643;"Q9H3M0";"Q9H3M0";"KCNF1_HUMAN";"3754";"KCNF1";"Potassium voltage-gated channel subfamily F member 1";"KCNF1";NA;0;1;1;2;0;2;"1";"1.41";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.03";"0";"0.03";"0.02";"0.02";"1.41";2;3;"0.03";"voltage-gated potassium channel complex, plasma membrane"
"7655";7655;"Q9H3S7";"Q9H3S7";"PTN23_HUMAN";"25930";"PTPN23";"Tyrosine-protein phosphatase non-receptor type 23";"PTPN23,KIAA1471";NA;0;1;1;29;30;37;"29.5";"0.71";"0.02";37;37;74;"37";"0";"0";"0.22";"0.22";"0.27";"0.22";"0";"0.01";37;74;"0.27";"cytoplasmic membrane-bounded vesicle, early endosome, nucleus, ciliary basal body, extracellular vesicular exosome"
"7658";7658;"Q9H3Z4";"Q9H3Z4-1";"DNJC5_HUMAN";"80331";"DNAJC5";"DnaJ homolog subfamily C member 5";"DNAJC5,CSP";NA;0;2;1;3;3;4;"3";"0";"0";5;5;10;"5";"0";"0";"0.33";"0.23";"0.4";"0.28";"0.07";"0.24";4;10;"0.4";"synaptic vesicle, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, melanosome, plasma membrane, lysosomal membrane"
"7661";7661;"Q9H444";"Q9H444";"CHM4B_HUMAN";"128866";"CHMP4B";"Charged multivesicular body protein 4b";"CHMP4B,SHAX1,C20orf178";NA;0;1;1;9;8;9;"8.5";"0.71";"0.08";11;12;23;"11.5";"0.71";"0.06";"0.45";"0.42";"0.45";"0.44";"0.02";"0.05";9;23;"0.45";"midbody, late endosome membrane, cytosol, extracellular vesicular exosome"
"7665";7665;"Q9H490";"Q9H490-1";"PIGU_HUMAN";"128869";"PIGU";"Phosphatidylinositol glycan anchor biosynthesis class U protein";"PIGU,CDC91L1";NA;0;2;2;4;4;4;"4";"0";"0";6;6;12;"6";"0";"0";"0.09";"0.09";"0.09";"0.09";"0";"0";4;12;"0.09";"GPI-anchor transamidase complex, plasma membrane"
"7667";7667;"Q9H497";"Q9H497-1";"TOR3A_HUMAN";"64222";"TOR3A";"Torsin-3A";"TOR3A,ADIR";NA;0;3;1;11;7;11;"9";"2.83";"0.31";21;15;36;"18";"4.24";"0.24";"0.35";"0.22";"0.35";"0.28";"0.09";"0.32";11;36;"0.35";"endoplasmic reticulum lumen, extracellular vesicular exosome"
"7669";7669;"Q9H4A4";"Q9H4A4";"AMPB_HUMAN";"6051";"RNPEP";"Aminopeptidase B";"RNPEP,APB";NA;0;1;1;27;26;27;"26.5";"0.71";"0.03";66;55;121;"60.5";"7.78";"0.13";"0.47";"0.47";"0.47";"0.47";"0";"0";27;121;"0.47";"plasma membrane, extracellular space, extracellular vesicular exosome"
"7671";7671;"Q9H4A6";"Q9H4A6";"GOLP3_HUMAN";"64083";"GOLPH3";"Golgi phosphoprotein 3";"GOLPH3,GPP34";NA;0;1;1;9;9;11;"9";"0";"0";16;16;32;"16";"0";"0";"0.4";"0.37";"0.44";"0.38";"0.02";"0.05";11;32;"0.44";"trans-Golgi network, mitochondrial intermembrane space, endosome, mitochondrion, cytosol, Golgi cisterna membrane, nuclear membrane, plasma membrane, Golgi cisterna"
"7674";7674;"Q9H4B7";"Q9H4B7";"TBB1_HUMAN";"81027";"TUBB1";"Tubulin beta-1 chain";"TUBB1";NA;0;1;1;5;5;5;"5";"0";"0";119;145;264;"132";"18.38";"0.14";"0.08";"0.08";"0.08";"0.08";"0";"0";5;264;"0.08";"microtubule, microtubule cytoskeleton, cytoplasm, plasma membrane"
"7676";7676;"Q9H4E7";"Q9H4E7";"DEFI6_HUMAN";"50619";"DEF6";"Differentially expressed in FDCP 6 homolog";"DEF6,IBP";NA;0;1;1;13;14;15;"13.5";"0.71";"0.05";21;21;42;"21";"0";"0";"0.21";"0.24";"0.25";"0.22";"0.02";"0.08";15;42;"0.25";"cytoplasm, nucleus, plasma membrane"
